"name","ACERECODE","super_opeid","campus_id","type","tier_name","iclevel","region","state"
"abilene christian university",2409,3537,1,"Private non-profit","Selective private","Four-year","South","TX"
"albion college",804,2235,7,"Private non-profit","Selective private","Four-year","Midwest","MI"
"allegheny college",508,3230,10,"Private non-profit","Selective private","Four-year","Northeast","PA"
"alma college",807,2236,11,"Private non-profit","Selective private","Four-year","Midwest","MI"
"alvernia university",664,3233,12,"Private non-profit","Selective private","Four-year","Northeast","PA"
"anderson university-indiana",809,1785,15,"Private non-profit","Selective private","Four-year","Midwest","IN"
"anna maria college",172,2117,17,"Private non-profit","Selective private","Four-year","Northeast","MA"
"asbury college",2390,1952,20,"Private non-profit","Selective private","Four-year","South","KY"
"ashland university",817,3012,21,"Private non-profit","Selective private","Four-year","Midwest","OH"
"auburn university montgomery",1685,8310,23,"Public","Selective public","Four-year","South","AL"
"augsburg college",1480,2334,24,"Private non-profit","Selective private","Four-year","Midwest","MN"
"augustana college-illinois",1201,1633,25,"Private non-profit","Highly selective private","Four-year","Midwest","IL"
"aurora university",822,1634,27,"Private non-profit","Selective private","Four-year","Midwest","IL"
"avila university",1433,2449,31,"Private non-profit","Selective private","Four-year","Midwest","MO"
"azusa pacific university",2761,1117,32,"Private non-profit","Selective private","Four-year","West","CA"
"babson college",8,2121,33,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"barry university",2108,1466,37,"Private non-profit","Selective private","Four-year","South","FL"
"barton college",2391,2908,38,"Private non-profit","Selective private","Four-year","South","NC"
"bates college",117,2036,39,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","ME"
"baylor university",2642,3545,40,"Private non-profit","Highly selective private","Four-year","South","TX"
"bellarmine university",2053,1954,42,"Private non-profit","Selective private","Four-year","South","KY"
"beloit college",827,3835,44,"Private non-profit","Highly selective private","Four-year","Midwest","WI"
"bennett college for women",1932,2911,47,"Private non-profit","Selective private","Four-year","South","NC"
"bentley university",216,2124,48,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"bethel college-mishawaka",1129,1787,52,"Private non-profit","Selective private","Four-year","Midwest","IN"
"bethel university-saint paul",1566,9058,54,"Private non-profit","Selective private","Four-year","Midwest","MN"
"biola university",2869,1122,56,"Private non-profit","Selective private","Four-year","West","CA"
"bloomfield college",299,2597,58,"Private non-profit","Selective private","Four-year","Northeast","NJ"
"bluffton university",836,3016,60,"Private non-profit","Selective private","Four-year","Midwest","OH"
"boston college",72,2128,61,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","MA"
"bowdoin college",57,2038,63,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","ME"
"bridgewater state university",51,2183,69,"Public","Selective public","Four-year","Northeast","MA"
"bryant university",196,3402,72,"Private non-profit","Selective private","Four-year","Northeast","RI"
"bucknell university",492,3238,74,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","PA"
"buena vista university",1595,1847,75,"Private non-profit","Selective private","Four-year","Midwest","IA"
"butler university",1043,1788,76,"Private non-profit","Selective private","Four-year","Midwest","IN"
"cabrini college",661,3241,77,"Private non-profit","Selective private","Four-year","Northeast","PA"
"california baptist university",2987,1125,79,"Private non-profit","Selective private","Four-year","West","CA"
"california polytechnic state university-san luis obispo",3038,1143,83,"Public","Selective public","Four-year","West","CA"
"california state university-chico",2784,1146,86,"Public","Selective public","Four-year","West","CA"
"california state university-los angeles",2888,1140,91,"Public","Selective public","Four-year","West","CA"
"california state university-monterey bay",3062,32603,92,"Public","Selective public","Four-year","West","CA"
"calvin college",1018,2241,95,"Private non-profit","Selective private","Four-year","Midwest","MI"
"campbell university",1749,2913,96,"Private non-profit","Selective private","Four-year","South","NC"
"canisius college",344,2681,97,"Private non-profit","Selective private","Four-year","Northeast","NY"
"carlow university",636,3303,100,"Private non-profit","Selective private","Four-year","Northeast","PA"
"carnegie mellon university",631,3242,101,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","PA"
"carroll university",1262,3838,103,"Private non-profit","Selective private","Four-year","Midwest","WI"
"carthage college",1066,3839,105,"Private non-profit","Selective private","Four-year","Midwest","WI"
"catholic university of america",750,1437,108,"Private non-profit","Selective private","Four-year","South","DC"
"cazenovia college",360,2685,109,"Private non-profit","Selective private","Four-year","Northeast","NY"
"cedarville university",849,3025,110,"Private non-profit","Selective private","Four-year","Midwest","OH"
"centenary college",435,2599,111,"Private non-profit","Selective private","Four-year","Northeast","NJ"
"central connecticut state university",145,1378,114,"Public","Selective public","Four-year","Northeast","CT"
"chapman university",2936,1164,122,"Private non-profit","Highly selective private","Four-year","West","CA"
"charleston southern university",1760,3419,123,"Private non-profit","Selective private","Four-year","South","SC"
"chatham university",633,3244,124,"Private non-profit","Selective private","Four-year","Northeast","PA"
"christopher newport university",2185,3706,128,"Public","Selective public","Four-year","South","VA"
"claremont mckenna college",2789,1170,131,"Private non-profit","Other elite schools (public and private)","Four-year","West","CA"
"clark atlanta university",1680,1559,133,"Private non-profit","Selective private","Four-year","South","GA"
"clarkson university",650,2699,136,"Private non-profit","Selective private","Four-year","Northeast","NY"
"cleveland state university",905,3032,137,"Public","Selective public","Four-year","Midwest","OH"
"coastal carolina university",1813,3451,138,"Public","Selective public","Four-year","South","SC"
"coe college",1325,1854,139,"Private non-profit","Selective private","Four-year","Midwest","IA"
"colby college",225,2039,141,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","ME"
"colby-sawyer college",151,2572,142,"Private non-profit","Selective private","Four-year","Northeast","NH"
"the college of idaho",2664,1617,145,"Private non-profit","Selective private","Four-year","West","ID"
"college of mount saint vincent",667,212,147,"Private non-profit","Selective private","Four-year","Northeast","NY"
"the college of new rochelle",532,2704,149,"Private non-profit","Selective private","Four-year","Northeast","NY"
"college of saint benedict",1541,2341,151,"Private non-profit","Selective private","Four-year","Midwest","MN"
"the college of saint scholastica",1368,2343,153,"Private non-profit","Selective private","Four-year","Midwest","MN"
"the college of wooster",1277,3037,157,"Private non-profit","Selective private","Four-year","Midwest","OH"
"colorado christian university",2705,9401,158,"Private non-profit","Selective private","Four-year","West","CO"
"colorado college",2672,1347,159,"Private non-profit","Highly selective private","Four-year","West","CO"
"columbia college",1802,3430,161,"Private non-profit","Selective private","Four-year","South","SC"
"corban university",2999,1339,167,"Private non-profit","Selective private","Four-year","West","OR"
"cornerstone university",1017,2266,170,"Private non-profit","Selective private","Four-year","Midwest","MI"
"creighton university",1507,2542,172,"Private non-profit","Selective private","Four-year","Midwest","NE"
"cuny bernard m baruch college",543,7273,175,"Public","Selective public","Four-year","Northeast","NY"
"cuny brooklyn college",316,2687,176,"Public","Selective public","Four-year","Northeast","NY"
"dartmouth college",102,2573,182,"Private non-profit","Ivy Plus","Four-year","Northeast","NH"
"davidson college",1831,2918,183,"Private non-profit","Other elite schools (public and private)","Four-year","South","NC"
"depauw university",1025,1792,190,"Private non-profit","Selective private","Four-year","Midwest","IN"
"dillard university",2181,2004,193,"Private non-profit","Selective private","Four-year","South","LA"
"dominican university",1195,1750,195,"Private non-profit","Selective private","Four-year","Midwest","IL"
"dominican university of california",3045,1196,196,"Private non-profit","Selective private","Four-year","West","CA"
"dordt college",1578,1859,197,"Private non-profit","Selective private","Four-year","Midwest","IA"
"drew university",502,2603,199,"Private non-profit","Selective private","Four-year","Northeast","NJ"
"east texas baptist university",2546,3564,206,"Private non-profit","Selective private","Four-year","South","TX"
"eastern connecticut state university",236,1425,207,"Public","Selective public","Four-year","Northeast","CT"
"eastern mennonite university",1953,3708,209,"Private non-profit","Selective private","Four-year","South","VA"
"eastern nazarene college",239,2145,211,"Private non-profit","Selective private","Four-year","Northeast","MA"
"eastern new mexico university-main campus",2584,2651,212,"Public","Selective public","Four-year","West","NM"
"eastern university",683,3259,214,"Private non-profit","Selective private","Four-year","Northeast","PA"
"eckerd college",2279,1487,216,"Private non-profit","Selective private","Four-year","South","FL"
"elizabethtown college",399,3262,220,"Private non-profit","Selective private","Four-year","Northeast","PA"
"elmhurst college",968,1676,221,"Private non-profit","Selective private","Four-year","Midwest","IL"
"elmira college",400,2718,222,"Private non-profit","Selective private","Four-year","Northeast","NY"
"erskine college and seminary",1852,3432,228,"Private non-profit","Selective private","Four-year","South","SC"
"the evergreen state college",2933,8155,230,"Public","Selective public","Four-year","West","WA"
"fairfield university",88,1385,231,"Private non-profit","Selective private","Four-year","Northeast","CT"
"ferrum college",1880,3711,234,"Private non-profit","Selective private","Four-year","South","VA"
"florida state university",2331,1489,239,"Public","Selective public","Four-year","South","FL"
"fontbonne university",1552,2464,240,"Private non-profit","Selective private","Four-year","Midwest","MO"
"fordham university",536,2722,241,"Private non-profit","Highly selective private","Four-year","Northeast","NY"
"fresno pacific university",2824,1253,249,"Private non-profit","Selective private","Four-year","West","CA"
"gannon university",403,3266,252,"Private non-profit","Selective private","Four-year","Northeast","PA"
"gardner-webb university",1734,2929,253,"Private non-profit","Selective private","Four-year","South","NC"
"geneva college",290,3267,254,"Private non-profit","Selective private","Four-year","Northeast","PA"
"george fox university",2919,3194,255,"Private non-profit","Selective private","Four-year","West","OR"
"georgetown university",753,1445,259,"Private non-profit","Other elite schools (public and private)","Four-year","South","DC"
"georgia institute of technology-main campus",1670,1569,260,"Public","Highly selective public","Four-year","South","GA"
"georgia southern university",2317,1572,261,"Public","Selective public","Four-year","South","GA"
"gonzaga university",3078,3778,266,"Private non-profit","Highly selective private","Four-year","West","WA"
"gordon college-wenham",228,2153,267,"Private non-profit","Selective private","Four-year","Northeast","MA"
"goshen college",1012,1799,268,"Private non-profit","Selective private","Four-year","Midwest","IN"
"goucher college",277,2073,269,"Private non-profit","Selective private","Four-year","South","MD"
"grace college and theological seminary",1275,1800,270,"Private non-profit","Selective private","Four-year","Midwest","IN"
"graceland university-lamoni",1446,1866,271,"Private non-profit","Selective private","Four-year","Midwest","IA"
"grand valley state university",805,2268,272,"Public","Selective public","Four-year","Midwest","MI"
"greensboro college",1928,2930,275,"Private non-profit","Selective private","Four-year","South","NC"
"greenville college",1026,1684,276,"Private non-profit","Selective private","Four-year","Midwest","IL"
"grinnell college",1403,1868,277,"Private non-profit","Highly selective private","Four-year","Midwest","IA"
"gustavus adolphus college",1569,2353,279,"Private non-profit","Highly selective private","Four-year","Midwest","MN"
"hamline university",1565,2354,281,"Private non-profit","Selective private","Four-year","Midwest","MN"
"hannibal-lagrange college",1404,9089,285,"Private non-profit","Selective private","Four-year","Midwest","MO"
"hanover college",1030,1801,286,"Private non-profit","Selective private","Four-year","Midwest","IN"
"hartwick college",594,2729,288,"Private non-profit","Selective private","Four-year","Northeast","NY"
"harvey mudd college",2791,1171,289,"Private non-profit","Other elite schools (public and private)","Four-year","West","CA"
"henderson state university",1654,1098,292,"Public","Selective public","Four-year","South","AR"
"high point university",1966,2933,294,"Private non-profit","Selective private","Four-year","South","NC"
"hiram college",1036,3049,296,"Private non-profit","Selective private","Four-year","Midwest","OH"
"hollins university",2260,3715,299,"Private non-profit","Selective private","Four-year","South","VA"
"hood college",413,2076,301,"Private non-profit","Selective private","Four-year","South","MD"
"houghton college",449,2734,303,"Private non-profit","Selective private","Four-year","Northeast","NY"
"houston baptist university",2510,3576,304,"Private non-profit","Selective private","Four-year","South","TX"
"howard payne university",2442,3575,305,"Private non-profit","Selective private","Four-year","South","TX"
"huntington university",1039,1803,309,"Private non-profit","Selective private","Four-year","Midwest","IN"
"illinois college",1054,1688,311,"Private non-profit","Selective private","Four-year","Midwest","IL"
"illinois state university",1151,1692,313,"Public","Selective public","Four-year","Midwest","IL"
"illinois wesleyan university",834,1696,314,"Private non-profit","Highly selective private","Four-year","Midwest","IL"
"iowa state university",1293,1869,318,"Public","Selective public","Four-year","Midwest","IA"
"john brown university",2307,1100,322,"Private non-profit","Selective private","Four-year","South","AR"
"john carroll university",1249,3050,323,"Private non-profit","Selective private","Four-year","Midwest","OH"
"johnson & wales university-providence",186,3404,325,"Private non-profit","Selective private","Four-year","Northeast","RI"
"kentucky wesleyan college",2205,1969,331,"Private non-profit","Selective private","Four-year","South","KY"
"kenyon college",1005,3065,332,"Private non-profit","Other elite schools (public and private)","Four-year","Midwest","OH"
"kettering university",986,2262,333,"Private non-profit","Highly selective private","Four-year","Midwest","MI"
"king's college-wilkes barre",785,3282,335,"Private non-profit","Selective private","Four-year","Northeast","PA"
"knox college",1003,1704,336,"Private non-profit","Highly selective private","Four-year","Midwest","IL"
"kutztown university of pennsylvania",476,3322,337,"Public","Selective public","Four-year","Northeast","PA"
"la sierra university",2986,1215,339,"Private non-profit","Selective private","Four-year","West","CA"
"lafayette college",396,3284,340,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","PA"
"lake forest college",1078,1706,341,"Private non-profit","Selective private","Four-year","Midwest","IL"
