corr_type,Name,Description,Summary,wtdprop,n_colleges,mr_kq5_pq1,mr_ktop1_pq1,k_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,par_q1,par_q2,par_q3,par_q4,par_q5
Pooled,ACADEMIC_SELFCONCEPT,Scale: Academic Self Concept,ACADEMIC_SELFCONCEPT.scale,49.68836116,318,-0.115301961,0.492492892,0.635933099,-0.29583261,-0.511808919,-0.603506355,-0.643710328,0.662746262,0.722007978,0.757036085,0.759201724,0.578324825,0.597090755,0.604383843,0.57700341,0.616488234,-0.151005801,-0.435498818,-0.456901805,-0.396691706,0.611957252,-0.223073521,-0.492253244,-0.494504612,-0.537909358,0.646104298,-0.241069926,-0.437569037,-0.538246926,-0.550431467,0.629662604,-0.230845192,-0.388247974,-0.527492142,-0.585875323,0.610236881,-0.198200986,-0.474774546,-0.604938806,-0.599468456,0.649043895,-0.342575606,-0.489614032,-0.616898099,-0.509861093,0.641660982
Pooled,ACT05,Act: Challenged a professors ideas in class,ACT05.frequently,0.13761253,295,-0.215725512,-0.066553919,0.042593862,-0.019459277,0.023492866,-0.060614252,-0.085697259,0.055161643,0.056932606,0.069395663,0.046366842,-0.043360972,0.01914652,0.064410372,0.050918774,0.017582931,0.137432016,0.112711272,-0.153647556,-0.085052604,0.01914889,0.043965181,0.006095116,-0.090955332,-0.04240836,0.041972079,-0.018242529,-0.050976419,-0.038872823,-0.096925189,0.076235888,-0.122171822,0.075256038,0.015421859,-0.081970145,0.037350673,0.025842105,0.002923091,-0.047350462,-0.02977741,0.022438454,-0.204034693,-0.182354243,-0.174011145,-0.128302127,0.228088671
Pooled,ACT05,Act: Challenged a professors ideas in class,ACT05.notatall,0.275481759,295,0.41797842,0.093340167,-0.066111532,0.036841964,0.014924232,0.062035981,0.07599081,-0.06435985,-0.088260581,-0.123026544,-0.142283515,0.049448975,-0.023913385,-0.062840376,-0.06187083,-0.036268067,-0.154467839,-0.048129796,0.117104198,0.063263121,-0.01125075,-0.071166681,0.04257447,0.052498123,0.053326372,-0.038815275,0.025205806,0.022327589,0.049218234,0.06075866,-0.057783467,0.116567713,-0.030353177,-0.019792858,0.041882662,-0.027578604,-0.026022854,0.040427095,0.056563026,0.007026485,-0.026188914,0.379000741,0.321765914,0.187107901,0.033030067,-0.299555212
Pooled,ACT05,Act: Challenged a professors ideas in class,ACT05.occasionally,0.586905711,295,-0.470311484,-0.090623278,0.067749267,-0.041106397,-0.041239933,-0.047392898,-0.049082309,0.055220725,0.09039315,0.133806704,0.181310648,-0.041659852,0.021575009,0.045648437,0.054738366,0.041698967,0.128583252,-0.014706092,-0.058721429,-0.030118317,0.002203471,0.074407322,-0.069901569,-0.009025583,-0.048337537,0.026482217,-0.024260424,0.005795007,-0.044824142,-0.016983074,0.028645674,-0.082567501,-0.012545795,0.018190873,0.000171135,0.012915469,0.019554649,-0.064130956,-0.04941556,0.012587566,0.02247602,-0.419850204,-0.349290085,-0.149845732,0.050021878,0.279474104
Pooled,ACT11,Act: Did extra (unassigned) work for a course,ACT11.frequently,0.100715221,260,0.046439166,-0.160473427,-0.214912103,-0.001018946,0.216869566,0.232750726,0.231486137,-0.235358392,-0.273060787,-0.302273669,-0.341568339,-0.199564775,-0.177070295,-0.174425353,-0.1984822,-0.195686891,-0.001782846,0.318107533,0.141003576,0.082191691,-0.223025528,-0.030924455,0.234963976,0.187908086,0.164144238,-0.21510137,-0.049405552,0.119708454,0.239081452,0.18081285,-0.200073922,-0.041995288,0.182964427,0.241987561,0.187461661,-0.218515125,-0.017285222,0.168806425,0.185243919,0.250545993,-0.223745674,0.136290549,0.205021788,0.142333413,0.100539823,-0.192702459
Pooled,ACT11,Act: Did extra (unassigned) work for a course,ACT11.notatall,0.276432369,260,0.129776484,0.252323069,0.200090973,0.026074361,-0.152704184,-0.252409777,-0.283997059,0.243900786,0.279921227,0.310506419,0.36031659,0.221714464,0.171671426,0.15945538,0.185225901,0.195315255,-0.088499937,-0.227352845,-0.139142383,-0.136782528,0.243583177,0.054701747,-0.186781146,-0.21145344,-0.203931846,0.219668341,0.103972564,-0.05153886,-0.285712511,-0.25392366,0.221150891,0.065702515,-0.126169138,-0.255325279,-0.257224155,0.237230427,0.005819125,-0.107977096,-0.201680652,-0.304902358,0.241363777,0.037488688,-0.08216666,-0.18120813,-0.238726243,0.157656806
Pooled,ACT11,Act: Did extra (unassigned) work for a course,ACT11.occasionally,0.62285241,260,-0.229473654,-0.212778327,-0.087149993,-0.036473161,0.017319469,0.145634782,0.192145265,-0.130995884,-0.147602456,-0.164309582,-0.199225027,-0.13246732,-0.081581847,-0.066511211,-0.08110709,-0.098188737,0.128672912,0.030232494,0.068463756,0.119812751,-0.142018168,-0.049725854,0.049385811,0.128589671,0.139911655,-0.115070955,-0.103238275,-0.037444131,0.187538344,0.196145708,-0.131184629,-0.055210423,0.010792096,0.141222402,0.194694519,-0.137098608,0.007735727,-0.002140063,0.11704345,0.204409323,-0.138162686,-0.180647821,-0.07288816,0.127598142,0.249044186,-0.046919551
Pooled,ACT12,Act: Did not have time to study due to family responsibilities,ACT12.frequently,0.054650685,183,0.363467365,-0.232556966,-0.488659809,0.292739569,0.441303829,0.466350343,0.367821087,-0.474334271,-0.501710177,-0.525053788,-0.556015428,-0.372373626,-0.428409072,-0.463491081,-0.431931992,-0.463247507,0.092358748,0.266530923,0.392027764,0.237838681,-0.425171824,0.175951961,0.388338835,0.342048657,0.2807915,-0.41975365,0.230457543,0.395680736,0.408981651,0.264759963,-0.438910247,0.25961492,0.366243658,0.403776393,0.28004776,-0.416526703,0.238154363,0.366969794,0.425306527,0.366998195,-0.4520662,0.622836463,0.644807973,0.561765502,0.364309005,-0.623203054
Pooled,ACT12,Act: Did not have time to study due to family responsibilities,ACT12.notatall,0.561525821,183,-0.285658548,0.3658939,0.522276039,-0.240336169,-0.431676472,-0.51056776,-0.5051731,0.534830032,0.595702259,0.636186682,0.691491999,0.438556131,0.475257987,0.486386666,0.442851441,0.507774286,-0.110038135,-0.319071476,-0.395335456,-0.318520868,0.491880396,-0.157097092,-0.371512696,-0.428733602,-0.395357008,0.494373331,-0.157029397,-0.397628688,-0.444722827,-0.390151573,0.494195233,-0.151516495,-0.349267877,-0.444528877,-0.413602757,0.463953167,-0.210921523,-0.357255888,-0.471978568,-0.50383711,0.522240112,-0.523398806,-0.598957203,-0.600589205,-0.504614191,0.656937239
Pooled,ACT12,Act: Did not have time to study due to family responsibilities,ACT12.occasionally,0.383823494,183,0.243885101,-0.390086124,-0.504550195,0.209545708,0.404549671,0.497025783,0.522987692,-0.525372198,-0.594041946,-0.637999357,-0.69835848,-0.436328565,-0.464549821,-0.467074191,-0.421957274,-0.49449024,0.109837208,0.318914574,0.374535536,0.32777889,-0.48687391,0.142105823,0.34531859,0.433887207,0.41165715,-0.491866854,0.123843273,0.376248282,0.432002304,0.410350305,-0.485251063,0.107074272,0.324256309,0.433490226,0.435224465,-0.454063922,0.190154386,0.334223382,0.46139311,0.521554617,-0.516707184,0.461241144,0.550483019,0.580261084,0.523444547,-0.631790037
