"Name","Description","Summary","Label_rank","n_colleges","Survey","Survey_Name","Label","Group","Group_rev","corr_type","wtdprop","mr_kq5_pq1","mr_ktop1_pq1","k_rank","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","par_q1","par_q2","par_q3","par_q4","par_q5"
"COLACT02_9406","Act in College: Attended racial/cultural awareness workshop","COLACT02_9406.no",1,318,"CSS","College Senior Survey","No","College Experiences","College Experiences","Pooled",0.741205303,0.222828398,-0.087156795,-0.2112959,0.09334667,0.104897766,0.264562467,0.216496548,-0.225989253,-0.235568814,-0.267655927,-0.305418816,-0.170393178,-0.194733482,-0.21245155,-0.178520426,-0.185281841,0.010153387,0.126632076,0.203508041,0.169807328,-0.224059106,0.027954355,0.137240287,0.270629559,0.09722308,-0.205041301,0.092318685,0.089317002,0.274627283,0.189640866,-0.236568991,0.126041142,0.049397119,0.180625912,0.146835975,-0.171954074,0.056140991,0.079916875,0.207329589,0.198288437,-0.19416842,0.289742894,0.352581577,0.373401537,0.314521421,-0.433157257
"COLACT02_9406","Act in College: Attended racial/cultural awareness workshop","COLACT02_9406.yes",2,318,"CSS","College Senior Survey","Yes","College Experiences","College Experiences","Pooled",0.258794697,-0.222828398,0.087156795,0.2112959,-0.09334667,-0.104897766,-0.264562467,-0.216496548,0.225989253,0.235568814,0.267655927,0.305418816,0.170393178,0.194733482,0.21245155,0.178520426,0.185281841,-0.010153387,-0.126632076,-0.203508041,-0.169807328,0.224059106,-0.027954355,-0.137240287,-0.270629559,-0.09722308,0.205041301,-0.092318685,-0.089317002,-0.274627283,-0.189640866,0.236568991,-0.126041142,-0.049397119,-0.180625912,-0.146835975,0.171954074,-0.056140991,-0.079916875,-0.207329589,-0.198288437,0.19416842,-0.289742894,-0.352581577,-0.373401537,-0.314521421,0.433157257
"COLACT07_9406","Act in College: Enrolled in honors or advanced courses","COLACT07_9406.no",1,318,"CSS","College Senior Survey","No","College Experiences","College Experiences","Pooled",0.777839774,0.134721816,-0.273505442,-0.228216134,0.119399991,0.140736059,0.255743245,0.201494848,-0.230584081,-0.2579001,-0.285629205,-0.334675388,-0.196344213,-0.239995391,-0.201152106,-0.169748992,-0.215583898,-0.018131329,0.100769582,0.200488759,0.160180291,-0.199794655,0.085527749,0.158135275,0.261660211,0.121853209,-0.23381916,0.114921368,0.083817469,0.241553791,0.123063062,-0.197159514,0.068647188,0.098867111,0.159294065,0.145997884,-0.16528258,0.074680567,0.136153166,0.246412959,0.181309511,-0.217567288,0.26209599,0.304774194,0.341455199,0.245782103,-0.373577272
"COLACT07_9406","Act in College: Enrolled in honors or advanced courses","COLACT07_9406.yes",2,318,"CSS","College Senior Survey","Yes","College Experiences","College Experiences","Pooled",0.222160226,-0.134721816,0.273505442,0.228216134,-0.119399991,-0.140736059,-0.255743245,-0.201494848,0.230584081,0.2579001,0.285629205,0.334675388,0.196344213,0.239995391,0.201152106,0.169748992,0.215583898,0.018131329,-0.100769582,-0.200488759,-0.160180291,0.199794655,-0.085527749,-0.158135275,-0.261660211,-0.121853209,0.23381916,-0.114921368,-0.083817469,-0.241553791,-0.123063062,0.197159514,-0.068647188,-0.098867111,-0.159294065,-0.145997884,0.16528258,-0.074680567,-0.136153166,-0.246412959,-0.181309511,0.217567288,-0.26209599,-0.304774194,-0.341455199,-0.245782103,0.373577272
"COLACT11_9406","Act in College: Had a part-time job off-campus","COLACT11_9406.no",1,309,"CSS","College Senior Survey","No","College Experiences","College Experiences","Pooled",0.455107029,-0.045210567,0.296172771,0.362230917,-0.204801608,-0.27348768,-0.346945794,-0.324364654,0.363767183,0.39764708,0.422415345,0.48405153,0.313575459,0.33766633,0.32587033,0.311617079,0.364672639,-0.115757458,-0.222371296,-0.242737907,-0.220232469,0.339675944,-0.143064924,-0.234207359,-0.321208616,-0.222495911,0.340320765,-0.137307908,-0.227168126,-0.340469631,-0.237826005,0.333111924,-0.149626777,-0.226503583,-0.295455407,-0.258521251,0.31762497,-0.188805106,-0.234412453,-0.321772727,-0.335434992,0.36932439,-0.120472888,-0.244061359,-0.384563125,-0.353494213,0.366304586
"COLACT11_9406","Act in College: Had a part-time job off-campus","COLACT11_9406.yes",2,309,"CSS","College Senior Survey","Yes","College Experiences","College Experiences","Pooled",0.544892971,0.045210567,-0.296172771,-0.362230917,0.204801608,0.27348768,0.346945794,0.324364654,-0.363767183,-0.39764708,-0.422415345,-0.48405153,-0.313575459,-0.33766633,-0.32587033,-0.311617079,-0.364672639,0.115757458,0.222371296,0.242737907,0.220232469,-0.339675944,0.143064924,0.234207359,0.321208616,0.222495911,-0.340320765,0.137307908,0.227168126,0.340469631,0.237826005,-0.333111924,0.149626777,0.226503583,0.295455407,0.258521251,-0.31762497,0.188805106,0.234412453,0.321772727,0.335434992,-0.36932439,0.120472888,0.244061359,0.384563125,0.353494213,-0.366304586
"COLACT12_9406","Act in College: Had a part-time job on campus","COLACT12_9406.no",1,309,"CSS","College Senior Survey","No","College Experiences","College Experiences","Pooled",0.474297568,0.443770714,-0.078362833,-0.141456801,0.027933465,0.084149279,0.192936698,0.130440666,-0.148106891,-0.179547912,-0.211702011,-0.259863054,-0.091904123,-0.107096698,-0.101507511,-0.097074557,-0.107780602,-0.055341254,0.106197164,0.155965061,0.096299739,-0.138156421,-0.096913945,0.092521379,0.167734961,0.134624915,-0.130802176,-0.025404637,0.00735152,0.189048988,0.081866217,-0.10843896,0.007754542,0.059403487,0.126871125,0.057807616,-0.090455646,-0.004151327,0.060890179,0.142180126,0.104582091,-0.110463366,0.497901976,0.451558385,0.215740068,-0.047301588,-0.348091282
"COLACT12_9406","Act in College: Had a part-time job on campus","COLACT12_9406.yes",2,309,"CSS","College Senior Survey","Yes","College Experiences","College Experiences","Pooled",0.525702432,-0.443770714,0.078362833,0.141456801,-0.027933465,-0.084149279,-0.192936698,-0.130440666,0.148106891,0.179547912,0.211702011,0.259863054,0.091904123,0.107096698,0.101507511,0.097074557,0.107780602,0.055341254,-0.106197164,-0.155965061,-0.096299739,0.138156421,0.096913945,-0.092521379,-0.167734961,-0.134624915,0.130802176,0.025404637,-0.00735152,-0.189048988,-0.081866217,0.10843896,-0.007754542,-0.059403487,-0.126871125,-0.057807616,0.090455646,0.004151327,-0.060890179,-0.142180126,-0.104582091,0.110463366,-0.497901976,-0.451558385,-0.215740068,0.047301588,0.348091282
"COLACT13_9406","Act in College: Had a roommate of different race/ethnicity","COLACT13_9406.no",1,299,"CSS","College Senior Survey","No","College Experiences","College Experiences","Pooled",0.676154862,-0.039404847,-0.393892719,-0.374523251,0.046036322,0.241941836,0.439707745,0.581111122,-0.463937907,-0.490441502,-0.508722846,-0.485814929,-0.417012725,-0.357199197,-0.368337837,-0.349215091,-0.334902608,0.068453071,0.285353516,0.375110761,0.394370142,-0.49064567,-0.004408883,0.244421905,0.438079112,0.482751865,-0.462294894,-0.004545116,0.202987972,0.402067403,0.587746975,-0.474199001,0.026613993,0.171072279,0.369758701,0.556677237,-0.440292241,0.024822278,0.187984678,0.407315332,0.516060123,-0.425342775,0.191791542,0.326901884,0.460367367,0.431837312,-0.46370462
"COLACT13_9406","Act in College: Had a roommate of different race/ethnicity","COLACT13_9406.yes",2,299,"CSS","College Senior Survey","Yes","College Experiences","College Experiences","Pooled",0.323845138,0.039404847,0.393892719,0.374523251,-0.046036322,-0.241941836,-0.439707745,-0.581111122,0.463937907,0.490441502,0.508722846,0.485814929,0.417012725,0.357199197,0.368337837,0.349215091,0.334902608,-0.068453071,-0.285353516,-0.375110761,-0.394370142,0.49064567,0.004408883,-0.244421905,-0.438079112,-0.482751865,0.462294894,0.004545116,-0.202987972,-0.402067403,-0.587746975,0.474199001,-0.026613993,-0.171072279,-0.369758701,-0.556677237,0.440292241,-0.024822278,-0.187984678,-0.407315332,-0.516060123,0.425342775,-0.191791542,-0.326901884,-0.460367367,-0.431837312,0.46370462
