"corr_type","Name","Description","Summary","wtdprop","n_colleges","mr_kq5_pq1","mr_ktop1_pq1","k_rank","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","par_q1","par_q2","par_q3","par_q4","par_q5","kq345_cond_parq1","k_rank_cond_parq123"
"Private non-profit","ACADEMIC_SELFCONCEPT","Scale: Academic Self Concept","ACADEMIC_SELFCONCEPT.scale",49.972065556669,254,0.00813233256721333,0.491591524419446,0.638284692931794,-0.318924117676932,-0.522798415428684,-0.619973324064524,-0.631850500347005,0.662203282535534,0.71824432065135,0.755217828962606,0.763160254336315,0.588870298977276,0.602760343892785,0.604356941190514,0.577157978381094,0.624161342589401,-0.180617740245869,-0.441286303936748,-0.440366406794554,-0.358924412876638,0.607975041394233,-0.247978053760939,-0.493065567313312,-0.512035642081909,-0.509599522829142,0.650887025211909,-0.248835061610308,-0.453468486473953,-0.541209503724214,-0.528174131385184,0.625699245910168,-0.237964503957197,-0.395184014475829,-0.544660998761703,-0.585531604115815,0.616154831964311,-0.244329864705027,-0.487448720081202,-0.611094144933564,-0.603461616717319,0.65437117128522,-0.324673204430507,-0.471648415635944,-0.619461178778793,-0.580543162133145,0.624710420064336,0.396775903691396,0.632785669130505
"Public","ACADEMIC_SELFCONCEPT","Scale: Academic Self Concept","ACADEMIC_SELFCONCEPT.scale",48.5624772630961,64,-0.157565729192246,0.416020564117738,0.452598054539226,-0.186707417966572,-0.330204594000638,-0.307168927926648,-0.531790875390075,0.48338022473221,0.580517371648383,0.615159517878164,0.592331996072096,0.356834094437125,0.382702823483384,0.406318122938044,0.371378061680438,0.452359672876393,-0.0124395150277164,-0.211401913996347,-0.281296578828872,-0.527652778151283,0.432003281780494,-0.126074507936573,-0.315277033714493,-0.165192155326763,-0.575668316719321,0.435689595515787,-0.168902236190598,-0.218320807181097,-0.267849416441363,-0.537238289334013,0.460864871326457,-0.113562837926697,-0.225907607054204,-0.232795041465844,-0.410680997101543,0.379501970476359,-0.0574649406105185,-0.350446984204851,-0.362624644992779,-0.407538761528821,0.465327585956313,-0.303030480373591,-0.359612677597931,-0.361483778157585,-0.0466807293140175,0.490258613450568,0.169869817533159,0.396203353994479
"Private non-profit","ACT05","Act: Challenged a professors ideas in class","ACT05.frequently",0.150624184402896,240,0.0716521765167269,-0.107428923626318,-0.00479712117421764,-0.0326982981664765,0.0431146089183213,0.00316727638483339,-0.0126971861000683,-0.000549750946657862,-0.0283772238159164,-0.0376646925248297,-0.0830729501033256,-0.0793948449308251,-0.0149694569927281,0.0198389053113238,0.0154901007831501,-0.00657013336296252,0.127791598182085,0.149829739909339,-0.114633500447324,-0.0250466032175983,-0.0414668945980187,0.0225614696694023,0.0429490669295139,-0.078435960400488,0.0282128076068117,-0.00071238532223804,-0.02237671482274,-0.0468779678066718,0.0296363711084698,-0.0594375879189318,0.0329514186957608,-0.124807609030205,0.0825549644415735,0.0488823587283564,-0.0457101924527051,0.00685233045886951,-0.0360597220952336,0.0305017307561692,0.0161370414304819,0.0145263107496654,-0.0113632232280699,0.0770674205402639,0.0142104686025792,-0.0765708180722208,-0.15411756472447,0.062748400318479,-0.173696441642332,-0.0117218950230973
"Public","ACT05","Act: Challenged a professors ideas in class","ACT05.frequently",0.0914969814795866,55,-0.293113997738239,-0.274148912054373,-0.475769585079625,0.18560170668701,0.462272113873626,0.464389569050065,0.289477796391263,-0.478259897483507,-0.431621473819997,-0.385188235199328,-0.315742317453436,-0.530460077303508,-0.532645897365281,-0.495040890702525,-0.55443697693995,-0.471325809747,0.387263092456961,0.526039737114268,0.266053727691053,0.16306667050307,-0.48271026876245,0.215595249066831,0.532642460706681,0.420950995715376,0.173147864136026,-0.491590917089902,0.275571091531761,0.372719475041877,0.450463415179827,0.238741893812294,-0.479297137831463,0.107068786914153,0.571772828988281,0.5173439334359,0.353499602350682,-0.552181513447655,0.226224379925185,0.230433421615052,0.526354354951119,0.355681155648415,-0.509197951902508,-0.192466155038937,-0.137930990241068,0.0947210664821644,0.281321553118395,0.0313326835250359,-0.553267032804086,-0.521587412550948
"Private non-profit","ACT05","Act: Challenged a professors ideas in class","ACT05.notatall",0.240977908145,240,0.15729733963454,0.164497229082378,-0.0154528377146996,0.049052738446634,-0.00852935334961725,0.00481291639735365,-0.0132986441996567,-0.00305073164469996,0.0099073637835638,-0.0106121666308538,-0.0178547458319196,0.11505827128134,0.0154637247166462,0.00153509817040341,-0.0255577389228828,-0.0135452472198345,-0.199113384581675,-0.0953588879982639,0.124554154937454,-0.0451220692460471,0.0754970383970846,-0.0822116462759935,0.00080642673562714,0.0811666687827961,-0.0236414463508799,0.00052694103933506,-0.0126086002520236,4.75791524511749e-05,-0.0114276385130386,0.0153559870813721,0.000129105779746025,0.125345763254136,-0.0476215504754103,-0.0462002332217167,-0.0030200186047329,0.00500372197647352,0.0646521863115432,0.00334543240499594,-0.020610292210373,-0.0408951207935924,0.00923461885756841,0.096281141534307,0.111632067842727,0.100356537280518,0.0892025302055777,-0.118946229077926,0.182139630476299,0.0236098623236454
"Public","ACT05","Act: Challenged a professors ideas in class","ACT05.notatall",0.397769364575872,55,0.369211846575801,0.403252099400064,0.45476701536098,-0.0618611960161602,-0.376370920377107,-0.537724100795924,-0.373337841848126,0.503119799449693,0.464589263501477,0.442753493803025,0.39697906222271,0.566953052569768,0.538223454387891,0.47168020741744,0.52869231018922,0.431753719451207,-0.343044854726377,-0.469018353410216,-0.446177187679578,-0.172833692951575,0.544751988070353,-0.145552083239677,-0.440309463165618,-0.542530300875724,-0.279837309377279,0.550438780674516,-0.105850207960563,-0.330064849376217,-0.536615719838431,-0.318346430517494,0.506881646367619,-2.75850514703223e-05,-0.447013227731983,-0.579142696983923,-0.433566863981765,0.575035924261931,-0.129244115048854,-0.147931398377384,-0.53741856741869,-0.461816109940784,0.521666903183439,0.248416076788347,0.180525842355288,-0.219862470287239,-0.404782508218091,0.00622631866088074,0.492436822399452,0.516646305402731
"Private non-profit","ACT05","Act: Challenged a professors ideas in class","ACT05.occasionally",0.608397907452104,240,-0.33337038121712,-0.129546702348818,0.030056764198347,-0.0378337992166126,-0.0383874876846087,-0.0113715323239521,0.0361610276236694,0.00545655683941423,0.0185160377006721,0.0619327984065827,0.127871106385429,-0.085502266425179,-0.00632689753811312,-0.0262472255076773,0.0215703670506152,0.029187856127908,0.159504179947118,-0.0300858374000786,-0.0580962133904789,0.101027349826371,-0.068872959040644,0.102141516002205,-0.0528655344301951,-0.0333727304420416,0.00327305029446988,2.74265100480616e-05,0.0467048983530894,0.0562430038806569,-0.0176386926388529,0.0472651755207209,-0.0397898288569923,-0.0471178399599237,-0.0243125175132693,0.0139062801070118,0.0596626909053721,-0.0160986156754588,-0.0583196167509776,-0.0419032829717803,0.013015194341019,0.0468403706976044,-0.000866446621610766,-0.243951588219374,-0.192570533797273,-0.0657821457720319,0.0449156084177478,0.111613131027793,-0.077670758086757,-0.0230350911092547
"Public","ACT05","Act: Challenged a professors ideas in class","ACT05.occasionally",0.510733653944541,55,-0.37488212572436,-0.431293541399142,-0.407243944451406,-0.00203203307362352,0.304488475916145,0.528169332090537,0.382355106030349,-0.473392861272357,-0.441895235801432,-0.433547852969864,-0.402798257925626,-0.537482662170982,-0.496437822980767,-0.421640513537945,-0.472813162445991,-0.377308699032949,0.29371631426105,0.403207067429789,0.494913211202508,0.163204719350971,-0.529252069956291,0.100259646792579,0.360092704464962,0.555498615087368,0.307419592772764,-0.532952043940436,0.0164811538470433,0.282550762766772,0.533241860246018,0.329882065609946,-0.47813852461272,-0.0508272780857913,0.350837945712229,0.560688081474869,0.435809801811736,-0.538418877759073,0.0725009151621523,0.096523637031539,0.498305959128388,0.474110913724042,-0.48452209846652,-0.254487404464599,-0.185857486873185,0.261162300468544,0.430017117845019,-0.0235556160398888,-0.422882644529511,-0.471644916714713
"Private non-profit","ACT11","Act: Did extra (unassigned) work for a course","ACT11.frequently",0.0985009659354902,214,0.240272501971418,-0.12517287977081,-0.135653037482154,-0.0607370138558752,0.142241858110643,0.16047236799887,0.179406704080393,-0.155427530878701,-0.212939289616648,-0.259546834275991,-0.322549412732531,-0.12899994770004,-0.0871604364554706,-0.0896779748305044,-0.110876015411107,-0.110462687925902,-0.0152207424043151,0.247927434537355,0.0774588362626507,0.0385187739327552,-0.142469287582684,-0.0886287333796004,0.142602846074305,0.147178289857446,0.131969125936159,-0.137345956381629,-0.146387458683136,0.0588885284972916,0.181236306316085,0.137666684069998,-0.120885990768867,-0.091989446932967,0.111663272727119,0.168020761250266,0.102290411997118,-0.120856590676877,-0.0745285519221357,0.114914626784524,0.0865465619691883,0.200728119899451,-0.137281716045905,0.307494568187885,0.284168027710781,0.119444179572788,0.0311422719660966,-0.19721910937262,-0.149348258813338,-0.113771077471736
"Public","ACT11","Act: Did extra (unassigned) work for a course","ACT11.frequently",0.108927653656619,46,-0.317210072822213,-0.283620695300989,-0.5376697356709,0.296093781889653,0.544406189565863,0.446475472387198,0.364962966173255,-0.54590475937643,-0.483421510363864,-0.439844592006664,-0.370959161526606,-0.552512104439672,-0.589671699941631,-0.503641775299587,-0.601913753287852,-0.568951286787735,0.183512967771469,0.625224937214788,0.350352594069473,0.21868490886373,-0.551415621964271,0.374432019264185,0.634531632265213,0.306764032427163,0.237851213641311,-0.540091896642167,0.32046206469224,0.404787893076885,0.414603457585435,0.300487432718279,-0.501717549818835,0.199806018478668,0.567747497891676,0.534637740085823,0.47239437405624,-0.629711040650302,0.374178359316843,0.371053631606231,0.467830014424961,0.417836375141734,-0.591279639181882,-0.193483444511001,-0.16763997399967,0.0884744186672243,0.292751762013033,0.0464531240232552,-0.546496892427234,-0.547792398012987
"Private non-profit","ACT11","Act: Did extra (unassigned) work for a course","ACT11.notatall",0.277578069596263,214,-0.175820264922315,0.208122112905702,0.16131293164169,0.0342729095396732,-0.110775793085419,-0.207190405238039,-0.250738432230105,0.198297066466599,0.256505840113772,0.301272425373585,0.372280685197969,0.164151865037437,0.105505635462677,0.111378967458693,0.129994772165435,0.149785374614825,-0.0906563494643269,-0.15172992508927,-0.0653975803317902,-0.127777697055131,0.18080398901864,0.0948311474870659,-0.120849965082124,-0.165890807826933,-0.174702692746144,0.154728867009179,0.138633807723964,-0.00624268798923309,-0.248350484095478,-0.21497549382908,0.168160297537962,0.0640428538740023,-0.08128998807955,-0.19173381271511,-0.1711491729432,0.159148179941492,0.0452115424152135,-0.104845251363382,-0.145886447481582,-0.262433187516307,0.189076802154057,-0.241886241774637,-0.251917906063726,-0.177125994935209,-0.125787423518545,0.228906594925837,0.152320060046321,0.138155803727968
"Public","ACT11","Act: Did extra (unassigned) work for a course","ACT11.notatall",0.272183087946307,46,0.567115436596272,0.450620374718593,0.367227308378986,-0.00265282004683304,-0.325279115041982,-0.415423017458852,-0.415846955186824,0.443863407780294,0.402137319256016,0.406595118309226,0.407276731348372,0.521994113050782,0.479764267173774,0.358662297811629,0.449408195571043,0.390861758339581,-0.126412907044602,-0.546022536133711,-0.444304751874236,-0.167838033640916,0.530705172978461,-0.169136026232971,-0.476280098846,-0.390810010199505,-0.33757256054827,0.517441359139858,-0.00498327541928718,-0.256318525986682,-0.439066062909425,-0.408960526147517,0.450290150701591,0.105710561502952,-0.348036473355672,-0.511964516753561,-0.57434157365686,0.573068342367638,-0.20271870954326,-0.107158629273852,-0.381077805880239,-0.482980807490908,0.470110401278948,0.452022062242934,0.397720029682784,-0.188990082311963,-0.583810413229138,-0.165642957143696,0.464582849971049,0.426885232075473
"Private non-profit","ACT11","Act: Did extra (unassigned) work for a course","ACT11.occasionally",0.623920964468246,214,0.0222909659083709,-0.178449989180576,-0.101423030645908,0.00892846585124109,0.022774459320886,0.143407896200572,0.187677252538832,-0.135492221887371,-0.163913897203866,-0.183502285604469,-0.225006403520808,-0.111840842087511,-0.0678271262027154,-0.0738322545002014,-0.0802431310977059,-0.10897311394584,0.144332219314493,-0.0195103252672422,0.0196664603720813,0.146164054381613,-0.122820484767652,-0.0511417742362047,0.0368534889993834,0.0969717558512933,0.124111718049685,-0.0903796661537731,-0.0587015954794174,-0.0472957167003935,0.182511176385057,0.176331791446506,-0.125328097735394,-0.00385128290057625,0.00975805912087678,0.114069750026537,0.147364686860339,-0.112453030264182,0.00643681402228549,0.0403786426814633,0.12622874527807,0.184061070541542,-0.139618829593175,0.052689681977731,0.0893274979279993,0.139541588981977,0.150358425178647,-0.139410029710069,-0.0754696309195251,-0.0891631799524492
"Public","ACT11","Act: Did extra (unassigned) work for a course","ACT11.occasionally",0.618889258397074,46,-0.564355322564003,-0.422689352241007,-0.0945642139076408,-0.2375380094027,0.0282001368199247,0.238847656350219,0.305915127662914,-0.199059571884472,-0.189448491383643,-0.231442995281801,-0.288590285306922,-0.307050745359716,-0.215475781882751,-0.10987624281487,-0.161444984367963,-0.103358872103275,0.0338342870402839,0.282640657505149,0.359122032000235,0.0652739127265496,-0.320585515507396,-0.0598138588301201,0.173848177222209,0.317029404024155,0.295955495900867,-0.310569565597572,-0.254022224609857,0.041951879373493,0.299140121967584,0.348485084926737,-0.244408801721723,-0.316289607836988,0.0421952279127583,0.307068408117655,0.448328879269269,-0.318230364146269,-0.0108742527100967,-0.146996871287855,0.171599233005065,0.360230485260853,-0.200155918283602,-0.498206904491675,-0.440476279096813,0.20212111183926,0.608521292121351,0.202498871153249,-0.22864342866733,-0.172883166235049
"Private non-profit","ACT12","Act: Did not have time to study due to family responsibilities","ACT12.frequently",0.0509394809403337,160,0.423097948671858,-0.204822618904943,-0.454309372883178,0.318924908182958,0.420709753886162,0.390453002274859,0.321173410151798,-0.426391892534337,-0.465360575318261,-0.497098329992711,-0.54378908371586,-0.332917242689494,-0.388152567903234,-0.424928951254047,-0.387000961203274,-0.434231552833199,0.116876876377908,0.218422305294367,0.317826300878447,0.207716251462159,-0.37099868237444,0.183792804396036,0.36377200016708,0.262977217935867,0.246596453589019,-0.370413736368049,0.251775075082922,0.394770854175087,0.322202802670942,0.220501754774548,-0.391110695934769,0.268936509430919,0.336565449607405,0.320155066379563,0.233755543550545,-0.36085538538668,0.262962912269731,0.35592687321475,0.343286271728685,0.318053789533767,-0.403832024256113,0.636847143285294,0.625619962652633,0.52074922838492,0.346961835112629,-0.597239602230891,-0.218629880510381,-0.425383904108166
