Name,Description,Summary,wtdprop,n_colleges
ACT05,Act: Challenged a professors ideas in class,ACT05.notatall,0.267925949622901,295
ACT05,Act: Challenged a professors ideas in class,ACT05.occasionally,0.590410268461357,295
ACT05,Act: Challenged a professors ideas in class,ACT05.frequently,0.141663781915742,295
ACT11,Act: Did extra (unassigned) work for a course,ACT11.notatall,0.278775240821133,260
ACT11,Act: Did extra (unassigned) work for a course,ACT11.occasionally,0.621128495426912,260
ACT11,Act: Did extra (unassigned) work for a course,ACT11.frequently,0.100096263751955,260
ACT12,Act: Did not have time to study due to family responsibilities,ACT12.notatall,0.569878331185313,183
ACT12,Act: Did not have time to study due to family responsibilities,ACT12.occasionally,0.378670909324195,183
ACT12,Act: Did not have time to study due to family responsibilities,ACT12.frequently,0.0514507594904923,183
ACT13,Act: Did not have time to study due to job responsibilities,ACT13.notatall,0.540440299004366,183
ACT13,Act: Did not have time to study due to job responsibilities,ACT13.occasionally,0.380521936836878,183
ACT13,Act: Did not have time to study due to job responsibilities,ACT13.frequently,0.0790377641587555,183
ACT14,Act: Discussed course content with students outside of class,ACT14.notatall,0.0204521294392061,318
ACT14,Act: Discussed course content with students outside of class,ACT14.occasionally,0.29238510549658,318
ACT14,Act: Discussed course content with students outside of class,ACT14.frequently,0.687162765064214,318
ACT16,Act: Failed to complete homework on time,ACT16.notatall,0.395818581077898,318
ACT16,Act: Failed to complete homework on time,ACT16.occasionally,0.541159680549799,318
ACT16,Act: Failed to complete homework on time,ACT16.frequently,0.0630217383723026,318
ACT18,Act: Felt discriminated against by faculty,ACT18.notatall,0.740966385003238,116
ACT18,Act: Felt discriminated against by faculty,ACT18.occasionally,0.232356862706165,116
ACT18,Act: Felt discriminated against by faculty,ACT18.frequently,0.0266767522905971,116
ACT19,Act: Felt discriminated against by students,ACT19.notatall,0.752318928543489,116
ACT19,Act: Felt discriminated against by students,ACT19.occasionally,0.222095914282841,116
ACT19,Act: Felt discriminated against by students,ACT19.frequently,0.0255851571736701,116
ACT20,Act: Felt faculty took a personal interest in your progress,ACT20.notatall,0.0563704694102312,139
ACT20,Act: Felt faculty took a personal interest in your progress,ACT20.occasionally,0.422536147299107,139
ACT20,Act: Felt faculty took a personal interest in your progress,ACT20.frequently,0.521093383290662,139
ACT26,Act: Felt Supported by My Family,ACT26.notatall,0.0231394886028589,132
ACT26,Act: Felt Supported by My Family,ACT26.occasionally,0.154466823213014,132
ACT26,Act: Felt Supported by My Family,ACT26.frequently,0.822393688184127,132
ACT27,Act: Felt your comments were not taken seriously by faculty,ACT27.notatall,0.418183566093675,242
ACT27,Act: Felt your comments were not taken seriously by faculty,ACT27.occasionally,0.485552427520215,242
ACT27,Act: Felt your comments were not taken seriously by faculty,ACT27.frequently,0.0962640063861102,242
ACT28,Act: Had difficulty getting the courses you needed,ACT28.notatall,0.472255551096469,98
ACT28,Act: Had difficulty getting the courses you needed,ACT28.occasionally,0.446763555848459,98
ACT28,Act: Had difficulty getting the courses you needed,ACT28.frequently,0.0809808930550714,98
ACT31,Act: Have been a guest in professor's home,ACT31.notatall,0.539439905665936,318
ACT31,Act: Have been a guest in professor's home,ACT31.occasionally,0.399761742020696,318
ACT31,Act: Have been a guest in professor's home,ACT31.frequently,0.0607983523133685,318
ACT36,Act: Met with an advisor/counselor about your career plans,ACT36.notatall,0.159434862104619,98
ACT36,Act: Met with an advisor/counselor about your career plans,ACT36.occasionally,0.640317250901135,98
ACT36,Act: Met with an advisor/counselor about your career plans,ACT36.frequently,0.200247886994246,98
ACT37,Act: Met with Faculty During Office Hours,ACT37.notatall,0.0252615180898831,168
ACT37,Act: Met with Faculty During Office Hours,ACT37.occasionally,0.674017461545377,168
ACT37,Act: Met with Faculty During Office Hours,ACT37.frequently,0.30072102036474,168
ACT38,Act: Met with Faculty Outside Class or Office Hours,ACT38.notatall,0.215027028086788,168
ACT38,Act: Met with Faculty Outside Class or Office Hours,ACT38.occasionally,0.610471623179707,168
ACT38,Act: Met with Faculty Outside Class or Office Hours,ACT38.frequently,0.174501348733505,168
ACT40,Act: Missed Class Due to employment,ACT40.notatall,0.749801368057528,258
ACT40,Act: Missed Class Due to employment,ACT40.occasionally,0.225961459667336,258
ACT40,Act: Missed Class Due to employment,ACT40.frequently,0.0242371722751361,258
ACT48,Act: Performed community service as part of a class,ACT48.notatall,0.445843993574193,98
ACT48,Act: Performed community service as part of a class,ACT48.occasionally,0.443027453358813,98
ACT48,Act: Performed community service as part of a class,ACT48.frequently,0.111128553066995,98
ACT55,Act: Studied with other students,ACT55.notatall,0.0478009344017672,318
ACT55,Act: Studied with other students,ACT55.occasionally,0.52779581217366,318
ACT55,Act: Studied with other students,ACT55.frequently,0.424403253424573,318
ACT58,Act: Took interdisciplinary courses,ACT58.notatall,0.376854122501118,318
ACT58,Act: Took interdisciplinary courses,ACT58.occasionally,0.420090689359892,318
ACT58,Act: Took interdisciplinary courses,ACT58.frequently,0.20305518813899,318
ACT70,Act: Voted in a student election,ACT70.notatall,0.320215188861439,318
ACT70,Act: Voted in a student election,ACT70.occasionally,0.44691733549369,318
ACT70,Act: Voted in a student election,ACT70.frequently,0.232867475644871,318
ACT74,Act: Worked on group projects in class,ACT74.notatall,0.0343991644799691,301
ACT74,Act: Worked on group projects in class,ACT74.occasionally,0.479050570012695,301
ACT74,Act: Worked on group projects in class,ACT74.frequently,0.486550265507336,301
ACT75,Act: Worked on independent study projects,ACT75.notatall,0.428174984514126,318
ACT75,Act: Worked on independent study projects,ACT75.occasionally,0.388040196040758,318
ACT75,Act: Worked on independent study projects,ACT75.frequently,0.183784819445115,318
COLACT02_9406,Act in College: Attended racial/cultural awareness workshop,COLACT02_9406.yes,0.25984085902013,318
