"Name","Description","Summary","Label_rank","wtdprop","Survey","Survey_Name","Label","Group","Group_rev"
"COLACT02","Have you attended racial/cultural awareness workshop?","COLACT02.no",1,0.741205303,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT02","Have you attended racial/cultural awareness workshop?","COLACT02.yes",2,0.258794697,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT07","Have you enrolled in honors or advanced courses?","COLACT07.no",1,0.777839774,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT07","Have you enrolled in honors or advanced courses?","COLACT07.yes",2,0.222160226,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT11","Have you had a part-time job off-campus?","COLACT11.no",1,0.455107029,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT11","Have you had a part-time job off-campus?","COLACT11.yes",2,0.544892971,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT12","Have you had a part-time job on campus?","COLACT12.no",1,0.474297568,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT12","Have you had a part-time job on campus?","COLACT12.yes",2,0.525702432,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT13","Have you had a roommate of different race/ethnicity?","COLACT13.no",1,0.676154862,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT13","Have you had a roommate of different race/ethnicity?","COLACT13.yes",2,0.323845138,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT14","Have you joined a fraternity or sorority?","COLACT14.no",1,0.811212314,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT14","Have you joined a fraternity or sorority?","COLACT14.yes",2,0.188787686,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT17","Have you participated in an ethnic/racial student organization?","COLACT17.no",1,0.860388002,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT17","Have you participated in an ethnic/racial student organization?","COLACT17.yes",2,0.139611998,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT18","Have you participated in an internship program?","COLACT18.no",1,0.608000172,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT18","Have you participated in an internship program?","COLACT18.yes",2,0.391999828,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT19","Have you participated in campus protests?","COLACT19.no",1,0.90894082,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT19","Have you participated in campus protests?","COLACT19.yes",2,0.09105918,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT15","Have you participated in college internship program?","COLACT15.no",1,0.715394226,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT15","Have you participated in college internship program?","COLACT15.yes",2,0.284605774,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT21","Have you participated in leadership training?","COLACT21.no",1,0.787585468,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT21","Have you participated in leadership training?","COLACT21.yes",2,0.212414532,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT23","Have you participated in student government?","COLACT23.no",1,0.881547378,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT23","Have you participated in student government?","COLACT23.yes",2,0.118452622,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT16","Have you participated in study abroad program?","COLACT16.no",1,0.786484991,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT16","Have you participated in study abroad program?","COLACT16.yes",2,0.213515009,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT27","Have you taken a remedial course?","COLACT27.no",1,0.933640894,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT27","Have you taken a remedial course?","COLACT27.yes",2,0.066359106,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT32","Have you transferred from a community college?","COLACT32.no",1,0.890259817,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT32","Have you transferred from a community college?","COLACT32.yes",2,0.109740183,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT33","Have you transferred from a four-year college?","COLACT33.no",1,0.905860719,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT33","Have you transferred from a four-year college?","COLACT33.yes",2,0.094139281,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT34","Have you transferred from another college?","COLACT34.no",1,0.806665976,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT34","Have you transferred from another college?","COLACT34.yes",2,0.193334024,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT36","Have you voted in a state/national election?","COLACT36.no",1,0.397813232,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT36","Have you voted in a state/national election?","COLACT36.yes",2,0.602186768,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT40","Have you worked full-time while attending school?","COLACT40.no",1,0.847542502,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT40","Have you worked full-time while attending school?","COLACT40.yes",2,0.152457498,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"COLACT41","Have you worked on prof's research project?","COLACT41.no",1,0.841388834,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"COLACT41","Have you worked on prof's research project?","COLACT41.yes",2,0.158611166,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"CSVHOW1","Have you done community/volunteer service as part of a class or course?","CSVHOW1.no",1,0.645277903,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"CSVHOW1","Have you done community/volunteer service as part of a class or course?","CSVHOW1.yes",2,0.354722097,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"CSVHOW2","Have you done community/volunteer service as part of a collegiate-sponsored activity (sorority, campus, org, etc.)?","CSVHOW2.no",1,0.546272915,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"CSVHOW2","Have you done community/volunteer service as part of a collegiate-sponsored activity (sorority, campus, org, etc.)?","CSVHOW2.yes",2,0.453727085,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"CSVHOW3","Have you done community/volunteer service independently through a non-collegiate group (church, family, etc.)?","CSVHOW3.no",1,0.587880882,"CSS","College Senior Survey","No","College Experiences","College Experiences"
"CSVHOW3","Have you done community/volunteer service independently through a non-collegiate group (church, family, etc.)?","CSVHOW3.yes",2,0.412119118,"CSS","College Senior Survey","Yes","College Experiences","College Experiences"
"MAJOR1A_9415","Primary undergraduate major 1 aggregated (1994-2015)","MAJOR1A_9415.business",1,0.193663711,"CSS","College Senior Survey","Business","College Experiences","College Experiences"
"CSV","Since entering college, have you performed any community/volunteer service?","CSV.no",1,0.254202157,"CSS","College Senior Survey","No","College Experiences","College Experiences"
