"Name","Description","Summary","wtdprop","n_colleges","Survey","Survey_Name"
"ACADEMIC_SELFCONCEPT","Scale: Academic Self Concept","ACADEMIC_SELFCONCEPT.scale",49.6883611623223,318,"CSS","College Senior Survey"
"ACT05","Act: Challenged a professors ideas in class","ACT05.frequently",0.137612530454715,295,"CSS","College Senior Survey"
"ACT05","Act: Challenged a professors ideas in class","ACT05.notatall",0.275481758695075,295,"CSS","College Senior Survey"
"ACT05","Act: Challenged a professors ideas in class","ACT05.occasionally",0.58690571085021,295,"CSS","College Senior Survey"
"ACT11","Act: Did extra (unassigned) work for a course","ACT11.frequently",0.100715221243483,260,"CSS","College Senior Survey"
"ACT11","Act: Did extra (unassigned) work for a course","ACT11.notatall",0.276432368576491,260,"CSS","College Senior Survey"
"ACT11","Act: Did extra (unassigned) work for a course","ACT11.occasionally",0.622852410180025,260,"CSS","College Senior Survey"
"ACT12","Act: Did not have time to study due to family responsibilities","ACT12.frequently",0.0546506850970252,183,"CSS","College Senior Survey"
"ACT12","Act: Did not have time to study due to family responsibilities","ACT12.notatall",0.561525821028975,183,"CSS","College Senior Survey"
"ACT12","Act: Did not have time to study due to family responsibilities","ACT12.occasionally",0.383823493874,183,"CSS","College Senior Survey"
"ACT13","Act: Did not have time to study due to job responsibilities","ACT13.frequently",0.0844444970750539,183,"CSS","College Senior Survey"
"ACT13","Act: Did not have time to study due to job responsibilities","ACT13.notatall",0.531108637472468,183,"CSS","College Senior Survey"
"ACT13","Act: Did not have time to study due to job responsibilities","ACT13.occasionally",0.384446865452479,183,"CSS","College Senior Survey"
"ACT14","Act: Discussed course content with students outside of class","ACT14.frequently",0.687134683829539,318,"CSS","College Senior Survey"
"ACT14","Act: Discussed course content with students outside of class","ACT14.notatall",0.0204463084953614,318,"CSS","College Senior Survey"
"ACT14","Act: Discussed course content with students outside of class","ACT14.occasionally",0.292419007675099,318,"CSS","College Senior Survey"
"ACT16","Act: Failed to complete homework on time","ACT16.frequently",0.0627704004616573,318,"CSS","College Senior Survey"
"ACT16","Act: Failed to complete homework on time","ACT16.notatall",0.395825522217259,318,"CSS","College Senior Survey"
"ACT16","Act: Failed to complete homework on time","ACT16.occasionally",0.541404077321083,318,"CSS","College Senior Survey"
"ACT18","Act: Felt discriminated against by faculty","ACT18.frequently",0.0272002930671307,116,"CSS","College Senior Survey"
"ACT18","Act: Felt discriminated against by faculty","ACT18.notatall",0.74854229630308,116,"CSS","College Senior Survey"
"ACT18","Act: Felt discriminated against by faculty","ACT18.occasionally",0.224257410629789,116,"CSS","College Senior Survey"
"ACT19","Act: Felt discriminated against by students","ACT19.frequently",0.0243894984565543,116,"CSS","College Senior Survey"
"ACT19","Act: Felt discriminated against by students","ACT19.notatall",0.756655154497387,116,"CSS","College Senior Survey"
"ACT19","Act: Felt discriminated against by students","ACT19.occasionally",0.218955347046059,116,"CSS","College Senior Survey"
