corr_type,Name,Description,Summary,wtdprop,n_colleges,mr_kq5_pq1,mr_ktop1_pq1,k_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,par_q1,par_q2,par_q3,par_q4,par_q5
Pooled,CHOICE,Choice: Is this college your:,CHOICE.first,0.737536659,351,-0.305575651,-0.21260762,-0.14394718,0.142158838,0.093428682,0.114046295,0.130561388,-0.144202422,-0.124077242,-0.125365572,-0.11060151,-0.138068514,-0.141813427,-0.175592794,-0.174892529,-0.151633398,0.014172562,0.059433204,0.162888744,0.123714151,-0.1606806,0.169065772,0.007558752,0.144713028,0.13820317,-0.161832287,0.162901376,0.105011561,0.146017332,0.138250861,-0.181365049,0.117149796,0.146891301,0.120664224,0.151429224,-0.174178502,0.153675258,0.108814498,0.112837173,0.086362212,-0.137063631,-0.277194015,-0.167763097,0.163481839,0.330664489,-0.063394788
Pooled,CHOICE,Choice: Is this college your:,CHOICE.lessthanthird,0.025433524,351,0.217296018,0.305616914,0.178414709,-0.054896177,-0.091087912,-0.158431761,-0.261225568,0.203925459,0.229566855,0.268513253,0.297770041,0.172912119,0.161079863,0.186169415,0.179719451,0.188716277,0.03321492,-0.069095414,-0.227235972,-0.218227442,0.223222366,-0.08680052,-0.012483606,-0.183575075,-0.251479023,0.211536317,-0.087140084,-0.086578336,-0.172294844,-0.221101013,0.21187357,-0.009786912,-0.129762373,-0.13629011,-0.259432546,0.211230849,-0.070069791,-0.110602652,-0.163137359,-0.224467837,0.203768654,0.166878533,0.050071716,-0.218375693,-0.408713909,0.174818251
Pooled,CHOICE,Choice: Is this college your:,CHOICE.second,0.190297049,351,0.316634484,0.129675663,0.092408657,-0.162076731,-0.069817813,-0.060949949,-0.033269891,0.079470301,0.037077177,0.017063416,-0.019945689,0.088478121,0.100625152,0.132826547,0.136414029,0.099950437,-0.033750541,-0.028113451,-0.098620993,-0.053007152,0.09235337,-0.186829895,0.00801517,-0.092360931,-0.050629631,0.100471005,-0.177001167,-0.090926233,-0.100208616,-0.062584375,0.126440037,-0.154774824,-0.126551796,-0.081518467,-0.066305954,0.119254777,-0.171304641,-0.088735303,-0.059115678,0.008058449,0.072391869,0.311300764,0.224142825,-0.0930845,-0.233872248,-0.022878128
Pooled,CHOICE,Choice: Is this college your:,CHOICE.third,0.046732768,351,0.262393143,0.284901094,0.202424027,-0.120389823,-0.125941091,-0.176950984,-0.231206735,0.215531616,0.220255346,0.244290771,0.254159919,0.193251548,0.187424034,0.222235338,0.215765964,0.206563704,0.001646844,-0.110387828,-0.224920695,-0.189606814,0.234102542,-0.141714956,-0.038586856,-0.201760403,-0.226459081,0.227776114,-0.141121978,-0.12362587,-0.196356914,-0.220282627,0.240783517,-0.074763556,-0.168244866,-0.169636971,-0.234227754,0.230810736,-0.131639047,-0.126055665,-0.173304096,-0.186570802,0.205142765,0.203134856,0.0754674,-0.246482144,-0.415139268,0.169569145
Pooled,CHOOSE06,Choose to Attend: High school counselor advised me,CHOOSE06.notimportant,0.670171485,351,-0.234478526,-0.168990861,-0.403201798,0.458025818,0.404380968,0.305813948,0.160796591,-0.347434493,-0.267065543,-0.229318828,-0.17954441,-0.298623656,-0.392585378,-0.403163294,-0.430502942,-0.403748841,0.188535161,0.145748694,0.222643306,0.164094355,-0.29586554,0.354076622,0.296844894,0.281700948,0.15266703,-0.349654023,0.3850739,0.333582849,0.315714109,0.139452529,-0.350164706,0.403584405,0.462162275,0.292279722,0.155611167,-0.361470348,0.436375604,0.362064951,0.288268424,0.160177744,-0.348776381,-0.070398119,0.076165581,0.279957238,0.224704155,-0.182886908
Pooled,CHOOSE06,Choose to Attend: High school counselor advised me,CHOOSE06.somewhatimportant,0.274416615,351,0.175453086,0.181849272,0.473452785,-0.50420515,-0.479977547,-0.370625637,-0.19792809,0.411539236,0.328225648,0.285717675,0.22348193,0.345425825,0.451992281,0.467376114,0.493326161,0.470745066,-0.207157577,-0.169566761,-0.269560012,-0.193918404,0.346666131,-0.384315663,-0.349109072,-0.326767367,-0.185749937,0.40493458,-0.422641067,-0.402884386,-0.365021814,-0.163677575,0.406057885,-0.434188263,-0.528563773,-0.353153186,-0.182113504,0.417339632,-0.468920057,-0.432857647,-0.351268214,-0.199878202,0.411699155,-0.031764049,-0.170220229,-0.331997686,-0.22362672,0.252548503
Pooled,CHOOSE06,Choose to Attend: High school counselor advised me,CHOOSE06.veryimportant,0.0554119,351,0.352867513,0.105788689,0.146311964,-0.256353221,-0.132958897,-0.080062904,-0.033910145,0.116503378,0.057691736,0.039127055,0.031223609,0.122379315,0.166573815,0.162468616,0.188886152,0.155492181,-0.106556921,-0.057114301,-0.059008424,-0.056238911,0.109370119,-0.212811886,-0.10625904,-0.112987067,-0.038017061,0.142003649,-0.218892631,-0.091073645,-0.129846962,-0.050797345,0.140785047,-0.252925337,-0.205569918,-0.079388041,-0.058103517,0.150232813,-0.274939257,-0.110715972,-0.070357877,-0.026509005,0.120786066,0.332332095,0.188947349,-0.092842087,-0.189393466,-0.034969561
Pooled,CHOOSE12,Choose to Attend: I was offered financial assistance,CHOOSE12.notimportant,0.393971552,351,0.011543245,0.221734432,0.379528344,-0.12859515,-0.340511782,-0.373456013,-0.366720719,0.394697031,0.426325945,0.438882545,0.44515049,0.305696557,0.331183909,0.328293781,0.297111201,0.39270293,-0.101321906,-0.167244355,-0.234153055,-0.30392586,0.346123135,-0.13502793,-0.245668155,-0.329308282,-0.270869089,0.359239011,-0.111373934,-0.31253405,-0.285935467,-0.27474875,0.344787409,0.00407522,-0.258104924,-0.3400108,-0.285233409,0.324008608,-0.103485139,-0.339078931,-0.372054924,-0.380840869,0.406944438,-0.163504059,-0.329747456,-0.479623937,-0.376120438,0.440643064
Pooled,CHOOSE12,Choose to Attend: I was offered financial assistance,CHOOSE12.somewhatimportant,0.241868222,351,0.049859814,-0.359582582,-0.466769201,0.136754656,0.375733364,0.44944963,0.485632658,-0.484643996,-0.542222775,-0.614064976,-0.673486574,-0.396819939,-0.43794396,-0.4319127,-0.403217156,-0.449537445,0.056255648,0.253391545,0.337560894,0.346309127,-0.431802462,0.162519397,0.344006077,0.396489311,0.365226889,-0.463399113,0.141966875,0.324578734,0.394383665,0.370891721,-0.442355753,0.036235654,0.3033571,0.401405112,0.398038827,-0.420429982,0.089615583,0.338281477,0.431434603,0.480841239,-0.472223437,0.213319756,0.396567516,0.616040383,0.639769693,-0.621989113
Pooled,CHOOSE12,Choose to Attend: I was offered financial assistance,CHOOSE12.veryimportant,0.364160226,351,-0.034358607,-0.111698711,-0.253080504,0.094658056,0.244981449,0.2531316,0.230132688,-0.263520349,-0.276836771,-0.26173568,-0.244391678,-0.195167597,-0.208093564,-0.207197218,-0.182385273,-0.275781727,0.096015472,0.091668569,0.135502506,0.214103784,-0.228258871,0.091516824,0.146392976,0.22313676,0.167265343,-0.230567794,0.072189707,0.233294915,0.172888868,0.169480581,-0.222291993,-0.019885341,0.17797111,0.233705977,0.170540008,-0.206925485,0.08468042,0.258880546,0.258978231,0.248770613,-0.283126199,0.103938281,0.223621872,0.308936075,0.177058214,-0.260512693
