"corr_type","Name","Description","Summary","wtdprop","n_colleges","mr_kq5_pq1","mr_ktop1_pq1","k_rank","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","par_q1","par_q2","par_q3","par_q4","par_q5","kq345_cond_parq1","k_rank_cond_parq123"
"Private non-profit","CHOICE","Choice: Is this college your:","CHOICE.first",0.737033661696545,280,-0.305328523275832,-0.218543093586425,-0.24590463912596,0.204091586388478,0.190756229732463,0.188571793916434,0.227682291577899,-0.247942280751238,-0.235107498065894,-0.224120304262714,-0.168214448869713,-0.179987011289018,-0.209149825251817,-0.274349371430442,-0.268820395664445,-0.266381200028386,0.0451299089910475,0.058845413180521,0.18490638488515,0.172741108194121,-0.213366360339922,0.22639545669541,0.0268015773585716,0.195329132237294,0.192660878128054,-0.235523215846514,0.235749235488021,0.179165342492529,0.198244780563341,0.21017852422359,-0.278800919458509,0.14682278013528,0.248052176472549,0.177209903341661,0.24065075671033,-0.270435464547305,0.197066711971416,0.229363748792854,0.211676423066609,0.180298291437833,-0.255607911094144,-0.263791025530997,-0.115650907537132,0.20437554308227,0.397898641255365,-0.140505488060827,-0.0678819030065711,-0.119059712985384
"Public","CHOICE","Choice: Is this college your:","CHOICE.first",0.738242802078778,71,-0.337601447431442,-0.206406733920844,0.0638252375827021,-0.0226000736795024,-0.119442736600866,-0.00837485760158438,-0.0534239683992083,0.0547066593364364,0.0977361843323681,0.0848239025182077,0.035531973892441,-0.0433359786997177,0.00140615860461752,0.0250039548561629,0.032558102643633,0.0918407699244498,-0.0960484626482813,0.0609980745848664,0.124385354245307,-0.00858836510220579,-0.0562458698743582,0.00167426926536531,-0.0404227605942594,0.0479973811304821,0.0270417676318415,-0.0221329043302627,-0.0377952343101234,-0.0728099058537248,0.0591328370352221,-0.0144421097958061,0.00315767372495359,0.0375432730927159,-0.109331053337621,0.0160667069167288,-0.0195570492594109,0.0206657553774116,0.0355402404735118,-0.177615933192992,-0.0629222497400735,-0.0939069537668318,0.0984657623271046,-0.327030776235529,-0.260382273178427,0.0867277087011839,0.219346530300571,0.0774297659774794,0.00134617382504041,-0.241944923850774
"Private non-profit","CHOICE","Choice: Is this college your:","CHOICE.lessthanthird",0.026376756578976,280,0.151365479918437,0.281219335627481,0.190875903149501,-0.0808229904914916,-0.11869885846858,-0.152176262599033,-0.256739410907192,0.209023232823159,0.247814970085548,0.283105246714726,0.295073877571456,0.16631884223693,0.158699454438877,0.18866795306232,0.176496226520829,0.215042315197051,-0.00289983256334968,-0.0519721041194685,-0.186501556062363,-0.192536881231752,0.205855284560505,-0.138510453438237,0.0118389195514689,-0.169675912846188,-0.213580303238032,0.200051439560704,-0.115314091842243,-0.0897762990510494,-0.148071600716028,-0.212761538911491,0.210381115803744,-0.00349235523946962,-0.161589173394588,-0.109626558863394,-0.25209892572996,0.203256384900574,-0.0898035271473443,-0.165648492450884,-0.181031697110963,-0.217029517021233,0.222656270765398,0.135344196364244,0.0119107649282482,-0.219839273932016,-0.406856632584145,0.204561991350604,0.0366595190063176,-0.0115293000781675
"Public","CHOICE","Choice: Is this college your:","CHOICE.lessthanthird",0.0241093494157251,71,0.36705175026132,0.358230328558947,0.130366776581913,0.0183416504350045,-0.0129990686117994,-0.154491857984333,-0.252428444002489,0.173407829876194,0.163688804006439,0.205151204446624,0.278457688080012,0.167773292414285,0.144237910783764,0.157911378783528,0.16037746522835,0.113874943283851,0.17985389389384,-0.0974194304957814,-0.302591304703222,-0.282403843345548,0.243316707959668,0.105820572085854,-0.0608077354670711,-0.199168185049669,-0.32687441032998,0.219968381853916,0.00598685995310712,-0.0790286390557706,-0.200656319998699,-0.214555518475144,0.193709848523993,-0.0245831722436741,-0.0185764883010433,-0.176605696835239,-0.254468189859288,0.205779329743714,-0.0265085063788944,0.0383781420030485,-0.10860279538791,-0.223537404947797,0.145996538274033,0.276612589051022,0.15816200707371,-0.202366419638818,-0.409273464359236,0.0826943771676628,-0.0151548955978036,0.178645835466418
"Private non-profit","CHOICE","Choice: Is this college your:","CHOICE.second",0.188679655341782,280,0.353295022241997,0.142528299283413,0.225637754371565,-0.240715887539563,-0.193665764574236,-0.163308499009645,-0.15869566136458,0.216052293453481,0.173802957261119,0.136243225859539,0.0490651805084273,0.148139224222098,0.196476660555513,0.269432248213958,0.269641810932887,0.243088025420238,-0.0576740542510263,-0.0372266206312443,-0.147959416992485,-0.128346150017109,0.169817718898062,-0.245000716384454,-0.0362864562691743,-0.167429235179037,-0.135370665485476,0.205360977199347,-0.271968441044158,-0.196445707837143,-0.182954427630464,-0.156836563988212,0.259372482343036,-0.209920279332254,-0.254878219788564,-0.170274846521212,-0.183424889065198,0.253806022503582,-0.226164650284665,-0.230046899685684,-0.182416764100025,-0.115368229151683,0.222331555963254,0.315676402634582,0.179091713045478,-0.142240874739648,-0.320778150021625,0.0607413499153315,0.0612989777837104,0.198140867348057
"Public","CHOICE","Choice: Is this college your:","CHOICE.second",0.192567656899936,71,0.296467270737078,0.125771956321782,-0.148042652707683,0.0368048926937185,0.178679134113792,0.0819125736306546,0.171079131973665,-0.149943788477308,-0.201664750706512,-0.201672072170409,-0.167751453478492,-0.0222715331339115,-0.0739740948215491,-0.109860719630347,-0.118993897931478,-0.17662234207105,0.050588568229884,-0.0200581099608156,-0.0323527880672588,0.123665330583845,-0.0339071707277178,-0.0332029889421534,0.0965884731719582,0.0281072769155952,0.0946215724235798,-0.0699923259668975,0.0655350418948661,0.144010452862273,0.0109440371313478,0.104308758167283,-0.0912534155789135,-0.0230444354450383,0.167800432043088,0.0570164207321566,0.123511004714282,-0.115985558199385,-0.0214292831298212,0.228929746811618,0.132632719670923,0.21375181940329,-0.194922634712448,0.323173282423316,0.286503192004373,-0.0182709532275708,-0.113669447445428,-0.147508145077463,-0.00978510998918184,0.252880791414945
"Private non-profit","CHOICE","Choice: Is this college your:","CHOICE.third",0.047909926382697,280,0.234007398440939,0.286620344402946,0.269413846799463,-0.161335648052807,-0.189014469253656,-0.22412009737715,-0.302677037092931,0.285041696998927,0.303120594597265,0.320173447820298,0.298288887404216,0.215595245635298,0.221606136638013,0.278917614611146,0.266861499131023,0.288691689167592,-0.0368433839494075,-0.09746024359538,-0.219337350129591,-0.213463499680717,0.262121625653609,-0.192043451236647,-0.0274128801439065,-0.227064568593689,-0.256415444922687,0.269355096743568,-0.183676568806384,-0.16101876659743,-0.219170959048258,-0.274234784768923,0.301972041048864,-0.074211812667473,-0.233556978714163,-0.197727820956181,-0.299016361044123,0.288537087902777,-0.16109639801983,-0.216511097708114,-0.2459962658037,-0.252606103507016,0.289410544898713,0.175297731035493,0.0207569907200278,-0.280078215502411,-0.462512824680994,0.235984177279595,0.0885390244897558,0.00815530769401071
"Public","CHOICE","Choice: Is this college your:","CHOICE.third",0.045080191605561,71,0.340652796256359,0.265005745916415,0.0437444878015029,-0.0166222838242626,0.0227116744888282,-0.078116572322261,-0.0660049568265468,0.0571971024486256,0.0258232482293966,0.0504160632600137,0.111559594204586,0.121234941742171,0.0918530909211248,0.0817901529219443,0.0737603050971961,0.016755991097964,0.135247033152045,-0.127480624208629,-0.215616822607851,-0.102627817948612,0.153862596834827,0.0109383445408809,-0.048802503095114,-0.13457469631405,-0.140673249072843,0.126370414196204,-0.0222669806810004,-0.0306531810491667,-0.133679044467718,-0.0732040215858498,0.0976364934011793,-0.073621399607177,0.0141734736354162,-0.0968364646571487,-0.0767163575476158,0.0840990491623776,-0.0686182936634092,0.0911087425701492,-0.0217423434653198,-0.0337468100488656,0.0169607743180932,0.288187824579731,0.194301692594186,-0.166797624832014,-0.314554381484241,0.0190252441485202,0.0293781961548322,0.194483796423644
"Private non-profit","CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.notimportant",0.670010366166508,280,-0.266861479282914,-0.250084314471865,-0.593446625136105,0.550106875635069,0.566128181307813,0.481686356655178,0.340433524553617,-0.548300494129784,-0.464095929567375,-0.406539453824193,-0.298833870453416,-0.413678452012808,-0.547395572366367,-0.598327208924276,-0.603917258169942,-0.5902066562537,0.234394202953117,0.165894428556592,0.3331632186754,0.25516410202848,-0.436809400004673,0.373622037302203,0.402279402178955,0.416065424692264,0.294990032541714,-0.527932255968944,0.488525757963111,0.476555826533858,0.46009873330258,0.285092893721428,-0.552148592902797,0.462368472256886,0.588209464612131,0.450012025945699,0.326075485062915,-0.553283993222394,0.496326803698317,0.528768859523214,0.457769840700202,0.3303485805409,-0.548801807099851,0.031991795093307,0.189247197394801,0.402840753392803,0.378218297196756,-0.343702898096117,-0.258931661481334,0.0809027036998562
"Public","CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.notimportant",0.670400653607287,71,-0.23011001614531,0.059208427108357,0.0329781605324827,0.174921018354202,0.000486409506374651,-0.0110197062340437,-0.22529336982234,0.0833031497785188,0.175007601142504,0.195891871031879,0.166459827125834,-0.00336399463599439,-0.0223646407693732,0.0424969505888364,-1.34263074607363e-06,0.0461504650489007,0.0165399835347048,0.0895338123575819,-0.0141304475807349,-0.123365777675931,0.0206181113868275,0.300912961326461,0.0114483250461466,-0.00606327078243954,-0.180381305062466,0.0291647849204008,0.0524616518471169,-0.0604875424588827,0.0489794101347426,-0.215992841330266,0.0794926260204732,0.220295090806416,0.0970513611614001,-0.0320109679689662,-0.220260156266847,0.0748932372543968,0.250663123978961,-0.0908192550828985,-0.0466764454132811,-0.207123593067678,0.0993653546445169,-0.215061836180578,-0.127725068928333,0.0211528740222201,-0.0886172674827548,0.139936852288414,-0.0753490411885262,-0.183607477584049
