Name,Description,n_asked,usable_m
ACADEMIC_SELFCONCEPT,TFS Academic Self-Concept Score,2,0
ACE,College I.D.,7,0
ACT01,Act in Past Year: Asked a teacher for advice after class,7,0
ACT02,Act in Past Year: Attended a public recital or concert,4,0
ACT03,Act in Past Year: Attended a religious service,7,0
ACT04,Act in Past Year: Been late to class,4,0
ACT05,Act in Past Year: Checked out a book or journal from the school library,2,0
ACT06,Act in Past Year: Communicated via e-mail,4,0
ACT08,Act in Past Year: Discussed politics,7,0
ACT09,Act in Past Year: Discussed religion,4,0
ACT10,Act in Past Year: Consumed beer,7,0
ACT11,Act in Past Year: Consumed wine or liquor,7,0
ACT11_T,Act in Past Year: Found it difficult to study at home,2,0
ACT12,Act in Past Year: Failed to complete homework on time,1,0
ACT12_N,"Act in Past Year: Utilized nontraditional medicine (acupuncture, homeopathy, etc.)",1,0
ACT14,Act in Past Year: Felt depressed,7,0
ACT14_T,Act in Past Year: Lost my temper,2,0
ACT15,Act in Past Year: Felt overwhelmed by all I had to do,7,0
ACT16_T,Act in Past Year: Missed school due to employment,2,0
ACT17,Act in Past Year: Overslept and missed a class or appointment,7,0
ACT17_T,Act in Past Year: Other Internet use,4,0
ACT18,Act in Past Year: Participated in organized demonstrations,7,0
ACT19,Act in Past Year: Performed community service as part of a class,3,0
ACT20,Act in Past Year: Performed volunteer work,7,0
ACT21,Act in Past Year: Played a musical instrument,7,0
ACT21_T,Act in Past Year: Participated in Internet chat rooms,4,0
ACT23_T,Act in Past Year: Played chess,1,0
ACT24,Act in Past Year: Smoked cigarettes,7,0
ACT24_T,Act in Past Year: Played computer games,2,0
ACT25,Act in Past Year: Socialized with someone of another racial/ethnic group,7,0
ACT26,Act in Past Year: Studied with other students,7,0
ACT26_T,Act in Past Year: Read the editorial page in the newspaper,2,0
ACT27,Act in Past Year: Tutored another student,7,0
ACT27_T,Act in Past Year: Spoke a language other than English at home,1,0
ACT28,Act in Past Year: Used a personal computer,5,0
ACT29,Act in Past Year: Used the Internet: for research or homework,4,0
ACT30,Act in Past Year: Visited an art gallery or museum,4,0
ACT31,Act in Past Year: Voted in a student election,7,0
ACT32,Act in Past Year: Was a guest in a teacher's home,7,0
ACT32_T,Act in Past Year: Took a prescribed anti-depressant,3,0
ACT33,Act in Past Year: Been bored in class,7,0
ACT34,"Act in Past Year: Worked in a local, state, or national political campaign",3,0
ADMITCOL9501_N,Admission Consider: Low income students,1,0
ADMITCOL9502_N,Admission Consider: Athletes,1,0
ADMITCOL9503_N,Admission Consider: High-achieving students,1,0
ADMITCOL9504_N,Admission Consider: Foreign students,1,0
ADMITCOL9505_N,Admission Consider: Children of alumni,1,0
ADMITCOL9506_N,Admission Consider: African Americans,1,0
ADMITCOL9507_N,Admission Consider: American Indians,1,0
ADMITCOL9508_N,Admission Consider: Asian Americans,1,0
ADMITCOL9509_N,Admission Consider: Hispanics/Latinos,1,0
ADMITCOL9510_N,Admission Consider: Whites/Caucasians,1,0
ADMITCOL9901_N,Admission Consider: Application essay,1,0
ADMITCOL9902_N,Admission Consider: Athletic talent,1,0
ADMITCOL9903_N,Admission Consider: Extracurricular activities,1,0
ADMITCOL9904_N,Admission Consider: High school grades,1,0
ADMITCOL9905_N,Admission Consider: Letters of recommendation,1,0
ADMITCOL9906_N,Admission Consider: Musical/artistic talent,1,0
ADMITCOL9907_N,Admission Consider: Race/ethnicity,1,0
ADMITCOL9908_N,Admission Consider: Standardized test scores,1,0
ADMITCOL9909_N,Admission Consider: Volunteer work,1,0
ADOPT98_N,Were you adopted by your family?,1,0
AGE1,How old will you be on December 31 of this year?,7,0
AGE2,How old will you be on December 31 of this year?,7,0
AID01,"Aid: Parents, other relatives or friends",6,0
AID02,Aid: Spouse,6,0
AID03,Aid: Savings from summer work,6,0
AID04,Aid: Other savings,6,0
