"Name","Description"
"ACE","College I.D."
"ACT05","Act: Challenged a professors ideas in class"
"ACT11","Act: Did extra (unassigned) work for a course"
"ACT12","Act: Did not have time to study due to family responsibilities"
"ACT13","Act: Did not have time to study due to job responsibilities"
"ACT14","Act: Discussed course content with students outside of class"
"ACT16","Act: Failed to complete homework on time"
"ACT18","Act: Felt discriminated against by faculty"
"ACT19","Act: Felt discriminated against by students"
"ACT20","Act: Felt faculty took a personal interest in your progress"
"ACT26","Act: Felt Supported by My Family"
"ACT27","Act: Felt your comments were not taken seriously by faculty"
"ACT28","Act: Had difficulty getting the courses you needed"
"ACT31","Act: Have been a guest in professor's home"
"ACT36","Act: Met with an advisor/counselor about your career plans"
"ACT37","Act: Met with Faculty During Office Hours"
"ACT38","Act: Met with Faculty Outside Class or Office Hours"
"ACT40","Act: Missed Class Due to employment"
"ACT48","Act: Performed community service as part of a class"
"ACT55","Act: Studied with other students"
"ACT58","Act: Took interdisciplinary courses"
"ACT70","Act: Voted in a student election"
"ACT74","Act: Worked on group projects in class"
"ACT75","Act: Worked on independent study projects"
"CAREERA_9416","Aggregated Career_9416 (1994-2016)"
"CMPSAT01_0506","Campus Satisfaction: Amount of contact with faculty"
"CMPSAT02_0506","Campus Satisfaction: Availability of campus social activities"
"CMPSAT03_0506","Campus Satisfaction: Class size"
"CMPSAT04_0506","Campus Satisfaction: Courses in your major field"
"CMPSAT05_0506","Campus Satisfaction: Interaction with other students"
"CMPSAT06_0506","Campus Satisfaction: Overall college experience"
"CMPSAT07_0506","Campus Satisfaction: Overall quality of instruction"
"CMPSAT08_0506","Campus Satisfaction: Overall sense of community among students"
"CMPSAT09_0506","Campus Satisfaction: Relevance of coursework to everyday life"
"CMPSAT10_0506","Campus Satisfaction: Relevance of coursework to future career plans"
"COLACT02_9406","Act in College: Attended racial/cultural awareness workshop"
"COLACT07_9406","Act in College: Enrolled in honors or advanced courses"
"COLACT11_9406","Act in College: Had a part-time job off-campus"
"COLACT12_9406","Act in College: Had a part-time job on campus"
