"super_opeid","name","type","tier","tier_name","iclevel","region","state","cz","czname","cfips","county","multi","count","female","k_married","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","k_rank_cond_parq1","k_rank_cond_parq2","k_rank_cond_parq3","k_rank_cond_parq4","k_rank_cond_parq5","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","ktop1pc_cond_parq1","ktop1pc_cond_parq2","ktop1pc_cond_parq3","ktop1pc_cond_parq4","ktop1pc_cond_parq5","k_married_cond_parq1","k_married_cond_parq2","k_married_cond_parq3","k_married_cond_parq4","k_married_cond_parq5","shareimputed","imputed"
3537,"Abilene Christian University",2,6,"Selective private",1,3,"TX",32501,"Abilene",48441,"Taylor",0,838.666666666667,0.55961841,0.71257001,0.014363836,0.0019969451,138760.969805743,101000,0.683686359319096,0.052441355,0.10103199,0.16393574,0.25824007,0.42435089,0.23586491,0.12660472,0.023049099,0.00084190443,0.59242207,50874.1461334956,40100,44400,0.1212462,0.1400653,0.13294759,0.17327738,0.24644408,0.30726567,0.17170201,0.10058448,0.028367676,0.61133856,0.5487659,0.55333102,0.59738696,0.61255848,0.094144821,0.10862718,0.25599816,0.26732701,0.27390283,0.18618762,0.12963904,0.2034312,0.23309059,0.24765149,0.14365052,0.15883599,0.20837456,0.2874772,0.20166177,0.13800208,0.13981503,0.17422011,0.23329166,0.31467104,0.13462961,0.1225604,0.14174302,0.2391946,0.3618724,0.038079586,0.010980259,0.017191675,0.016094882,0.043093346,0.64650488,0.6595313,0.68103665,0.73097068,0.73434627,0,0
1541,"Abraham Baldwin Agricultural College",1,7,"Nonselective four-year public",1,3,"GA",8503,"Valdosta",13277,"Tift",0,679.333333333333,0.44160941,0.58075023,0.014857335,0.00099537033,80366.6612679404,66000,0.525405981648308,0.15455516,0.18715858,0.22549702,0.23676255,0.19602653,0.072930537,0.033044621,0.0025202818,0.00060852652,0.53531063,35346.929969256,32500,35400,0.11306878,0.12194975,0.1790269,0.25532883,0.27395719,0.16973718,0.063980781,0.02852213,0.0063849776,0.47152263,0.51417655,0.54793787,0.56494147,0.55546802,0.17649074,0.23979603,0.30101529,0.18656828,0.096129663,0.11401461,0.2289665,0.28606683,0.22847596,0.1424761,0.11998492,0.13451687,0.27231202,0.31154609,0.16164011,0.092711516,0.16680454,0.23359773,0.30565181,0.20123436,0.12409817,0.14939772,0.1966711,0.30476099,0.22507203,0.0064402274,0.0074744346,0.0020436032,0.0036637569,0.013582016,0.43063459,0.4963887,0.58608449,0.69739872,0.63262773,0,0
7531,"Academy Of Art University",3,10,"Four-year for-profit",1,4,"CA",37800,"San Francisco",6075,"San Francisco",0,495.666666666667,0.4142569,0.34508148,0.01635739,0.0013608988,166594.969611634,92300,0.649209833337544,0.093524233,0.12291715,0.1753495,0.21152514,0.39668405,0.24404958,0.14739551,0.035681199,0.0033683486,0.51605916,39988.0172064139,27400,36300,0.18639259,0.20586628,0.19378209,0.18086788,0.15814623,0.26133758,0.16304491,0.087273344,0.014030807,0.46328181,0.50448275,0.50762242,0.5176,0.53499699,0.26703009,0.18542577,0.20629373,0.16635033,0.17490003,0.20905481,0.19157112,0.21893194,0.13638723,0.24405494,0.19975942,0.22083299,0.18134363,0.14692578,0.25113821,0.1993628,0.192634,0.1671838,0.1889049,0.25191447,0.19662528,0.18509193,0.17016526,0.15151256,0.29660493,0.014551297,0.011080111,0.0037515434,0.0030415235,0.025226077,0.26182237,0.29487798,0.32891592,0.37458456,0.37168089,0,0
1345,"Adams State University",1,5,"Selective public",1,4,"CO",34805,"Alamosa",8003,"Alamosa",0,393.333333333333,0.50084746,0.56966305,0.018844681,3.1015468e-05,76121.8163400424,67200,0.540471235271228,0.12922439,0.1855039,0.24842876,0.26087633,0.17596665,0.064278461,0.024887405,0.0031467152,0,0.55242109,38010.8134070445,34100,36600,0.11228829,0.12124767,0.15907787,0.24386188,0.27226484,0.20354776,0.078580491,0.030641153,0.0058325916,0.49757031,0.53208673,0.56378084,0.55884016,0.58858407,0.169993,0.20166962,0.21881245,0.26369584,0.14582914,0.12888451,0.18362787,0.23587221,0.28918275,0.16243257,0.10558637,0.14734074,0.26411721,0.28090703,0.20204861,0.117544,0.15930827,0.22771633,0.29199779,0.20343369,0.10500124,0.11814803,0.26602009,0.21926692,0.29156369,0.00024001249,5.4899006e-05,0.0065161018,0.0030827927,0.019142136,0.48972049,0.56959015,0.56577599,0.58763808,0.60728627,0,0
2666,"Adelphi University",2,6,"Selective private",1,1,"NY",19400,"New York",36059,"Nassau",0,509,0.71840209,0.54553699,0.032585073,0.0026125547,130723.74090844,96300,0.648892214466874,0.087048024,0.12853861,0.15643388,0.22986455,0.39811498,0.2053698,0.10392397,0.023863256,0.0019367096,0.65645194,54029.6668559676,50700,55000,0.092774801,0.10051541,0.11300756,0.14764461,0.19315448,0.445678,0.24363674,0.10178581,0.014892664,0.63396782,0.62208229,0.66312301,0.65213352,0.67233694,0.098475181,0.1251636,0.19384955,0.20817724,0.37433442,0.12819031,0.11394597,0.1512318,0.19388846,0.41274351,0.090565264,0.10661294,0.1711234,0.19665042,0.43504792,0.087775581,0.13160761,0.16251582,0.19001622,0.42808473,0.10329168,0.10181998,0.1185716,0.19007106,0.48624572,0.030012798,0,0.012568131,0.019824557,0.014460809,0.47028729,0.42311192,0.59426481,0.54417533,0.58315676,0,0
2234,"Adrian College",2,6,"Selective private",1,2,"MI",11500,"Jackson",26091,"Lenawee",0,240.333333333333,0.55478501,0.65137172,0.0095646288,4.2307722e-05,113708.111715499,88500,0.643139328523416,0.060760289,0.11535594,0.20081325,0.28132689,0.34174353,0.1497259,0.072932914,0.011504383,0.0013226749,0.60715014,43944.5524878641,40300,42700,0.082058199,0.085792035,0.12808184,0.21049739,0.30366662,0.27196202,0.11347157,0.038714342,0.0035677333,0.54885733,0.60171163,0.5991171,0.59635538,0.63295698,0.15087558,0.16439058,0.21269469,0.31462336,0.15741579,0.083161861,0.14765577,0.20696786,0.33797786,0.22423662,0.073973455,0.1153337,0.24982749,0.3447499,0.21611543,0.09041439,0.13870628,0.23076543,0.26504341,0.27507061,0.078247949,0.113764,0.17150237,0.2977908,0.33869484,0.00069630548,0,0.0067530964,0,0.0063477848,0.43425807,0.68422318,0.60610479,0.68589699,0.67706251,0,0
31155,"Adventist University Of Health Sciences",2,8,"Nonselective four-year private not-for-profit",1,3,"FL",7400,"Orlando",12095,"Orange",0,120.5,0.76348549,0.53837162,0.037858434,7.6385069e-05,73132.1614583333,62900,0.5320831934611,0.12763435,0.21570545,0.2254377,0.27373475,0.15748784,0.03309045,0.016315293,0.00058265973,0.00018522084,0.62302995,45837.11328125,39200,45500,0.095972382,0.10437773,0.10397492,0.1986399,0.25457832,0.33842918,0.13711934,0.026672954,0.00076833158,0.55127591,0.63204902,0.59475309,0.66458988,0.63706917,0.19206659,0.085266978,0.23123255,0.19481745,0.29661635,0.036636569,0.17374876,0.16842078,0.33001477,0.29117918,0.084459923,0.10823943,0.30856872,0.22633907,0.2723929,0.13306703,0.0622756,0.12368277,0.28911138,0.39186314,0.10473958,0.089944184,0.18654215,0.18008859,0.43868551,0.000598468,0.0005849459,0.00062639912,0.00079738937,0.0013098365,0.60275435,0.50480336,0.43241799,0.64831454,0.49274322,1,1
1542,"Agnes Scott College",2,4,"Highly selective private",1,3,"GA",9100,"Atlanta",13089,"DeKalb",0,164,0.99695122,0.50208014,0.014744159,8.4282074e-05,148536.114583333,97200,0.646476328372955,0.072003044,0.12996751,0.15526837,0.226091,0.41667008,0.23255238,0.11762413,0.012381608,0.0029194781,0.58335757,45756.53515625,38900,47300,0.12491813,0.13175504,0.15667561,0.19311041,0.23435101,0.28410792,0.16471973,0.073669724,0.015001114,0.46623808,0.58050793,0.50426215,0.58574533,0.63266397,0.28022349,0.07410422,0.27148008,0.1694209,0.20477132,0.11097127,0.16873075,0.18285468,0.30575338,0.23168989,0.15743414,0.18397909,0.25496072,0.24033324,0.16329277,0.15193644,0.13143396,0.19250344,0.19068885,0.33343729,0.092061885,0.17070626,0.16004801,0.244762,0.33242187,0.0011705349,0.00022579834,0,0.025556557,0.02186233,0.3770501,0.41193375,0.40943015,0.55191076,0.55929083,1,1
1002,"Alabama Agricultural & Mechanical University",1,5,"Selective public",1,3,"AL",6000,"Huntsville",1089,"Madison",0,943.666666666667,0.51395267,0.23482969,0.0421931,0.00072911417,57659.1526887032,44500,0.425329574055151,0.24356118,0.26432449,0.19608772,0.17628771,0.11973897,0.032962188,0.0090836408,0.00017934357,0.0001266632,0.55232471,37065.2516267993,32900,36200,0.10311734,0.11468282,0.17586538,0.24503741,0.25806373,0.20635071,0.083374694,0.023782138,0.0025651255,0.5211789,0.54019493,0.5656352,0.56898648,0.5961265,0.12399267,0.22259933,0.23428085,0.24589306,0.17323409,0.1243574,0.17615318,0.25460184,0.26393887,0.18094863,0.096729033,0.16766663,0.25030014,0.27120033,0.21410379,0.10120665,0.16306418,0.26565877,0.24599868,0.22407177,0.12363097,0.11244164,0.20682499,0.26610076,0.29100159,0.0029935567,0,0.001887219,0.0034651775,0.0071412232,0.22086081,0.1781698,0.23571385,0.27178454,0.33246547,0,0
2885,"Albany College Of Pharmacy And Health Sciences",2,8,"Nonselective four-year private not-for-profit",1,1,"NY",18600,"Albany",36001,"Albany",0,129,0.59689921,0.74353045,0.033575334,0.00010010065,90997.46875,95800,0.661741018295288,0.039403558,0.10187934,0.18648764,0.27667844,0.39555106,0.16515727,0.041671876,0.0019784023,0.00027203368,0.85815191,115474.440104167,115800,128200,0.041380756,0.061036427,0.024199348,0.051073611,0.085526809,0.77816385,0.69074345,0.69074345,0.10475121,0.89533067,0.86014491,0.8680107,0.86623412,0.84363353,0.044741351,0,0.065878063,0.037291657,0.85208887,0.12127837,0,0.031325109,0.065597028,0.7817995,0.080410399,0.039945588,0.075158909,0.037168901,0.76731628,0.056634035,0.023798931,0.053064007,0.10233005,0.76417297,0.041088838,0.02569918,0.041937761,0.10651052,0.78476369,0.0025403961,0.047687784,0.11761301,0.12728998,0.10780136,0.3103807,0.60340786,0.87881339,0.76463181,0.74422902,1,1
