"corr_type","Name","Description","Summary","wtdprop","n_colleges","Label_rank","Survey","Survey_Name","Label","Group","Group_rev"
"Pooled","ACT05","Have you challenged a professor's ideas in class?","ACT05.frequently",0.137612530454715,295,3,"CSS","College Senior Survey","Frequently","Frequency Of Experiences","College Experiences"
"Pooled","ACT05","Have you challenged a professor's ideas in class?","ACT05.notatall",0.275481758695075,295,1,"CSS","College Senior Survey","Not at all","Frequency Of Experiences","College Experiences"
"Pooled","ACT05","Have you challenged a professor's ideas in class?","ACT05.occasionally",0.58690571085021,295,2,"CSS","College Senior Survey","Occasionally","Frequency Of Experiences","College Experiences"
"Pooled","ACT11","Have you did extra (unassigned) work for a course?","ACT11.frequently",0.100715221243483,260,3,"CSS","College Senior Survey","Frequently","Frequency Of Experiences","College Experiences"
"Pooled","ACT11","Have you did extra (unassigned) work for a course?","ACT11.notatall",0.276432368576491,260,1,"CSS","College Senior Survey","Not at all","Frequency Of Experiences","College Experiences"
"Pooled","ACT11","Have you did extra (unassigned) work for a course?","ACT11.occasionally",0.622852410180025,260,2,"CSS","College Senior Survey","Occasionally","Frequency Of Experiences","College Experiences"
"Pooled","ACT12","Have you did not have time to study due to family responsibilities?","ACT12.frequently",0.0546506850970252,183,3,"CSS","College Senior Survey","Frequently","Frequency Of Experiences","College Experiences"
"Pooled","ACT12","Have you did not have time to study due to family responsibilities?","ACT12.notatall",0.561525821028975,183,1,"CSS","College Senior Survey","Not at all","Frequency Of Experiences","College Experiences"
"Pooled","ACT12","Have you did not have time to study due to family responsibilities?","ACT12.occasionally",0.383823493874,183,2,"CSS","College Senior Survey","Occasionally","Frequency Of Experiences","College Experiences"
"Pooled","ACT13","Have you did not have time to study due to job responsibilities?","ACT13.frequently",0.0844444970750539,183,3,"CSS","College Senior Survey","Frequently","Frequency Of Experiences","College Experiences"
"Pooled","ACT13","Have you did not have time to study due to job responsibilities?","ACT13.notatall",0.531108637472468,183,1,"CSS","College Senior Survey","Not at all","Frequency Of Experiences","College Experiences"
"Pooled","ACT13","Have you did not have time to study due to job responsibilities?","ACT13.occasionally",0.384446865452479,183,2,"CSS","College Senior Survey","Occasionally","Frequency Of Experiences","College Experiences"
"Pooled","ACT14","Have you discussed course content with students outside of class?","ACT14.frequently",0.687134683829539,318,3,"CSS","College Senior Survey","Frequently","Frequency Of Experiences","College Experiences"
"Pooled","ACT14","Have you discussed course content with students outside of class?","ACT14.notatall",0.0204463084953614,318,1,"CSS","College Senior Survey","Not at all","Frequency Of Experiences","College Experiences"
"Pooled","ACT14","Have you discussed course content with students outside of class?","ACT14.occasionally",0.292419007675099,318,2,"CSS","College Senior Survey","Occasionally","Frequency Of Experiences","College Experiences"
"Pooled","ACT16","Have you failed to complete homework on time?","ACT16.frequently",0.0627704004616573,318,3,"CSS","College Senior Survey","Frequently","Frequency Of Experiences","College Experiences"
