corr_type,Name,Description,Summary,wtdprop,n_colleges,Label_rank,Survey,Survey_Name,Label,Group,Group_rev
Pooled,ACT05,Have you challenged a professor's ideas in class?,ACT05.notatall,0.275481759,295,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT05,Have you challenged a professor's ideas in class?,ACT05.occasionally,0.586905711,295,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT05,Have you challenged a professor's ideas in class?,ACT05.frequently,0.13761253,295,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT11,Have you did extra (unassigned) work for a course?,ACT11.notatall,0.276432369,260,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT11,Have you did extra (unassigned) work for a course?,ACT11.occasionally,0.62285241,260,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT11,Have you did extra (unassigned) work for a course?,ACT11.frequently,0.100715221,260,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT12,Have you did not have time to study due to family responsibilities?,ACT12.notatall,0.561525821,183,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT12,Have you did not have time to study due to family responsibilities?,ACT12.occasionally,0.383823494,183,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT12,Have you did not have time to study due to family responsibilities?,ACT12.frequently,0.054650685,183,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT13,Have you did not have time to study due to job responsibilities?,ACT13.notatall,0.531108637,183,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT13,Have you did not have time to study due to job responsibilities?,ACT13.occasionally,0.384446865,183,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT13,Have you did not have time to study due to job responsibilities?,ACT13.frequently,0.084444497,183,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT14,Have you discussed course content with students outside of class?,ACT14.notatall,0.020446308,318,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT14,Have you discussed course content with students outside of class?,ACT14.occasionally,0.292419008,318,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT14,Have you discussed course content with students outside of class?,ACT14.frequently,0.687134684,318,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT16,Have you failed to complete homework on time?,ACT16.notatall,0.395825522,318,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT16,Have you failed to complete homework on time?,ACT16.occasionally,0.541404077,318,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT16,Have you failed to complete homework on time?,ACT16.frequently,0.0627704,318,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT18,Have you felt discriminated against by faculty?,ACT18.notatall,0.748542296,116,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT18,Have you felt discriminated against by faculty?,ACT18.occasionally,0.224257411,116,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT18,Have you felt discriminated against by faculty?,ACT18.frequently,0.027200293,116,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT19,Have you felt discriminated against by students?,ACT19.notatall,0.756655154,116,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT19,Have you felt discriminated against by students?,ACT19.occasionally,0.218955347,116,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT19,Have you felt discriminated against by students?,ACT19.frequently,0.024389498,116,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT20,Have you felt faculty took a personal interest in your progress?,ACT20.notatall,0.060549741,139,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT20,Have you felt faculty took a personal interest in your progress?,ACT20.occasionally,0.447422479,139,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT20,Have you felt faculty took a personal interest in your progress?,ACT20.frequently,0.49202778,139,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT26,Have you felt supported by my family?,ACT26.notatall,0.024529018,132,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT26,Have you felt supported by my family?,ACT26.occasionally,0.155202933,132,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT26,Have you felt supported by my family?,ACT26.frequently,0.820268049,132,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT27,Have you felt your comments were not taken seriously by faculty?,ACT27.notatall,0.422633197,242,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT27,Have you felt your comments were not taken seriously by faculty?,ACT27.occasionally,0.48181653,242,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT27,Have you felt your comments were not taken seriously by faculty?,ACT27.frequently,0.095550273,242,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT28,Have you had difficulty getting the courses you needed?,ACT28.notatall,0.451662654,98,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT28,Have you had difficulty getting the courses you needed?,ACT28.occasionally,0.456552814,98,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT28,Have you had difficulty getting the courses you needed?,ACT28.frequently,0.091784532,98,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT31,Have you have been a guest in professor's home?,ACT31.notatall,0.541668715,318,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT31,Have you have been a guest in professor's home?,ACT31.occasionally,0.398032643,318,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT31,Have you have been a guest in professor's home?,ACT31.frequently,0.060298642,318,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT36,Have you met with an advisor/counselor about your career plans?,ACT36.notatall,0.179131348,98,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT36,Have you met with an advisor/counselor about your career plans?,ACT36.occasionally,0.634948616,98,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT36,Have you met with an advisor/counselor about your career plans?,ACT36.frequently,0.185920036,98,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT37,Have you met with faculty during office hours?,ACT37.notatall,0.025811323,168,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT37,Have you met with faculty during office hours?,ACT37.occasionally,0.680653521,168,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT37,Have you met with faculty during office hours?,ACT37.frequently,0.293535156,168,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT38,Have you met with faculty outside class or office hours?,ACT38.notatall,0.22972034,168,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT38,Have you met with faculty outside class or office hours?,ACT38.occasionally,0.601650165,168,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
Pooled,ACT38,Have you met with faculty outside class or office hours?,ACT38.frequently,0.168629495,168,3,CSS,College Senior Survey,Frequently,Frequency Of Experiences,College Experiences
Pooled,ACT40,Have you missed class due to employment?,ACT40.notatall,0.74173324,258,1,CSS,College Senior Survey,Not at all,Frequency Of Experiences,College Experiences
Pooled,ACT40,Have you missed class due to employment?,ACT40.occasionally,0.232705835,258,2,CSS,College Senior Survey,Occasionally,Frequency Of Experiences,College Experiences
