corr_type,Name,Description,Summary,wtdprop,n_colleges,Label_rank,Survey,Survey_Name,Label,Group,Group_rev
Pooled,CHOICE,Is this college your:,CHOICE.lessthanthird,0.025433524,351,1,TFS,The Freshman Survey,Less than third choice,College Preference,College Choice
Pooled,CHOICE,Is this college your:,CHOICE.third,0.046732768,351,2,TFS,The Freshman Survey,Third choice,College Preference,College Choice
Pooled,CHOICE,Is this college your:,CHOICE.second,0.190297049,351,3,TFS,The Freshman Survey,Second choice,College Preference,College Choice
Pooled,CHOICE,Is this college your:,CHOICE.first,0.737536659,351,4,TFS,The Freshman Survey,First choice,College Preference,College Choice
Pooled,CHOOSE06,High school counselor advised me,CHOOSE06.notimportant,0.670171485,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE06,High school counselor advised me,CHOOSE06.somewhatimportant,0.274416615,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE06,High school counselor advised me,CHOOSE06.veryimportant,0.0554119,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE12,I was offered financial assistance,CHOOSE12.notimportant,0.393971552,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE12,I was offered financial assistance,CHOOSE12.somewhatimportant,0.241868222,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE12,I was offered financial assistance,CHOOSE12.veryimportant,0.364160226,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE16,My relatives wanted me to come here,CHOOSE16.notimportant,0.634217857,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE16,My relatives wanted me to come here,CHOOSE16.somewhatimportant,0.292394696,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE16,My relatives wanted me to come here,CHOOSE16.veryimportant,0.073387447,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE21,Rankings in national magazines,CHOOSE21.notimportant,0.50674119,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE21,Rankings in national magazines,CHOOSE21.somewhatimportant,0.354994285,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE21,Rankings in national magazines,CHOOSE21.veryimportant,0.138264525,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE24,This college has a good reputation for its social activities,CHOOSE24.notimportant,0.211027301,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE24,This college has a good reputation for its social activities,CHOOSE24.somewhatimportant,0.495827444,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE24,This college has a good reputation for its social activities,CHOOSE24.veryimportant,0.293145255,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE25,This college has a very good academic reputation,CHOOSE25.notimportant,0.045918842,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE25,This college has a very good academic reputation,CHOOSE25.somewhatimportant,0.303807202,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE25,This college has a very good academic reputation,CHOOSE25.veryimportant,0.650273956,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE26,This college has low tuition,CHOOSE26.notimportant,0.566050555,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE26,This college has low tuition,CHOOSE26.somewhatimportant,0.284174814,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE26,This college has low tuition,CHOOSE26.veryimportant,0.149774631,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE28,This college's graduates gain admission to top graduate/professional schools,CHOOSE28.notimportant,0.252044521,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE28,This college's graduates gain admission to top graduate/professional schools,CHOOSE28.somewhatimportant,0.380025262,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE28,This college's graduates gain admission to top graduate/professional schools,CHOOSE28.veryimportant,0.367930216,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,CHOOSE29,This college's graduates get good jobs,CHOOSE29.notimportant,0.108703875,351,1,TFS,The Freshman Survey,Not important,College Choice Factors,College Choice
Pooled,CHOOSE29,This college's graduates get good jobs,CHOOSE29.somewhatimportant,0.319031208,351,2,TFS,The Freshman Survey,Somewhat important,College Choice Factors,College Choice
Pooled,CHOOSE29,This college's graduates get good jobs,CHOOSE29.veryimportant,0.572264917,351,3,TFS,The Freshman Survey,Very important,College Choice Factors,College Choice
Pooled,REASON01,A mentor/role model encouraged me to go,REASON01.notimportant,0.51288591,351,1,TFS,The Freshman Survey,Not important,Reasons For Attending College,College Choice
Pooled,REASON01,A mentor/role model encouraged me to go,REASON01.somewhatimportant,0.356197439,351,2,TFS,The Freshman Survey,Somewhat important,Reasons For Attending College,College Choice
Pooled,REASON01,A mentor/role model encouraged me to go,REASON01.veryimportant,0.130916651,351,3,TFS,The Freshman Survey,Very important,Reasons For Attending College,College Choice
Pooled,REASON02,I could not find a job,REASON02.notimportant,0.888322121,351,1,TFS,The Freshman Survey,Not important,Reasons For Attending College,College Choice
Pooled,REASON02,I could not find a job,REASON02.somewhatimportant,0.067928261,351,2,TFS,The Freshman Survey,Somewhat important,Reasons For Attending College,College Choice
Pooled,REASON02,I could not find a job,REASON02.veryimportant,0.043749619,351,3,TFS,The Freshman Survey,Very important,Reasons For Attending College,College Choice
Pooled,REASON03,My parents wanted me to go,REASON03.notimportant,0.239550132,351,1,TFS,The Freshman Survey,Not important,Reasons For Attending College,College Choice
