"","address","city","country","keys","latitude","longitude","name","postalCode","province","websites"
"1","253 W 42nd St","New York","US","us/ny/newyork/253w42ndst/-448666054",40.757015,-73.98944,"Five Guys","10036","NY","http://fiveguys.com,http://www.fiveguys.com/"
"2","275 Greenwich St","New York","US","us/ny/newyork/275greenwichst/1143321601",40.71518,-74.010994,"Chipotle Mexican Grill","10007","NY","http://www.chipotle.com,https://www.chipotle.com/"
"3","367 W 34th St","New York","US","us/ny/newyork/367w34thst/-891525969",40.753251,-73.995938,"SUBWAY®","10001","NY","http://www.subway.com,http://subway.com/"
"4","132 Nassau St","New York","US","us/ny/newyork/132nassaust/89177860",40.71105,-74.006714,"Dunkin' Donuts","10038","NY","https://www.dunkindonuts.com/"
"5","300 W 135th St","New York","US","us/ny/newyork/300w135thst/-891525969",40.816521,-73.94658,"SUBWAY","10030","NY","http://www.subway.com,http://subway.com/"
"6","316 W 34th St","New York","US","us/ny/newyork/316w34thst/-448666054",40.752557,-73.994382,"Five Guys","10036","NY","http://www.fiveguys.com,http://fiveguys.com"
"7","421 2nd Ave","New York","US","us/ny/newyork/4212ndave/-891525969",40.738914,-73.98054,"Subway","10010","NY","http://subway.com/"
"8","4797 Broadway","New York","US","us/ny/newyork/4797broadway/-1055723171",40.866356,-73.9257,"Domino's Pizza","10034","NY","https://www.dominos.com/en/?redirect=homepage,http://www.dominos.com/"
"9","99 Clarkson St","New York","US","us/ny/newyork/99clarksonst/-1055723171",40.7297958,-74.0099925,"Domino's Pizza","10014","NY","http://www.dominos.com,http://www.dominos.com/"
"10","327 W 42nd St","New York","US","us/ny/newyork/327w42ndst/-2061630068",40.758028,-73.990954,"Burger King","10036","NY","http://www.bk.com,http://www.bk.com/restaurants/ny/new-york/327-west-42nd-street-12871.html"
"11","205 Allen St","New York","US","us/ny/newyork/205allenst/-1055723171",40.722717,-73.989105,"Domino's Pizza","10002","NY","https://www.dominos.com/en/?redirect=homepage,http://www.dominos.com/"
"12","130 W 125th St","New York","US","us/ny/newyork/130w125thst/-2061630068",40.808434,-73.947039,"Burger King","10027","NY","http://www.bk.com"
"13","27 3rd Ave","New York","US","us/ny/newyork/273rdave/-1161002137",40.729725,-73.989641,"McDonald's","10003","NY","http://mcdonalds.com/"
"14","2549 Broadway","New York","US","us/ny/newyork/2549broadway/-1161002137",40.79443,-73.972466,"McDonald's","10025","NY","http://mcdonalds.com/"
"15","2508 Broadway","New York","US","us/ny/newyork/2508broadway/-891525969",40.79299,-73.97286,"Subway","10025","NY","http://subway.com/"
"16","151 W 34th St","New York","US","us/ny/newyork/151w34thst/-1161002137",40.750343,-73.98913,"McDonald's","10001","NY","http://mcdonalds.com,http://mcdonalds.com/"
"17","106 Liberty St","New York","US","us/ny/newyork/106libertyst/-2061630068",40.709762,-74.011824,"Burger King","10006","NY","http://www.bk.com,http://www.bk.com/restaurants/ny/new-york/106-liberty-street-2446.html?utm_source=Google_MomentFeed_2446,http://www.burgerking.com/"
"18","265 W 37th St","New York","US","us/ny/newyork/265w37thst/89177860",40.753874,-73.991526,"Dunkin' Donuts","10018","NY","http://www.dunkindonuts.com,http://dunkindonuts.com/"
"19","154 E 116th St","New York","US","us/ny/newyork/154e116thst/-2061630068",40.798258,-73.941459,"Burger King","10029","NY","http://www.bk.com,http://www.bk.com/restaurants/ny/new-york/154-east-116-street-9829.html"
"20","966 3rd Ave","New York","US","us/ny/newyork/9663rdave/-1161002137",40.76093,-73.96743,"McDonald's","10022","NY","https://www.mcdonalds.com/us/en-us.html,http://mcdonalds.com/"
"21","146 Delancey St","New York","US","us/ny/newyork/146delanceyst/-2061630068",40.718145,-73.986585,"Burger King","10002","NY","http://www.bk.com,http://www.bk.com/"
"22","274 Madison Ave","New York","US","us/ny/newyork/274madisonave/1143321601",40.75124,-73.98043,"Chipotle Mexican Grill","10016","NY","http://www.chipotle.com,http://www.chipotle.com/"
"23","227 1st Ave","New York","US","us/ny/newyork/2271stave/-891525969",40.731068,-73.98315,"Subway","10003","NY","http://subway.com/"
"24","112 John St","New York","US","us/ny/newyork/112johnst/-891525969",40.70766,-74.00596,"Subway","10038","NY","http://subway.com/"
"25","1885 3rd Ave","New York","US","us/ny/newyork/18853rdave/-891525969",40.79042,-73.94552,"Subway","10029","NY","http://subway.com/"
"26","1873 2nd Ave","New York","US","us/ny/newyork/18732ndave/-891525969",40.784782,-73.94708,"Subway","10027","NY","http://subway.com/"
"27","16 W 8th St","New York","US","us/ny/newyork/16w8thst/-1055723171",40.732586,-73.99746,"Domino's Pizza","10011","NY","http://www.dominos.com,http://www.dominos.com/"
"28","2554 Adam Clayton Powell Jr Blvd","New York","US","us/ny/newyork/2554adamclaytonpowelljrblvd/-1055723171",40.823376,-73.93795,"Domino's Pizza","10039","NY","https://www.dominos.com/en/?redirect=homepage,http://www.dominos.com/"
"29","720 W 181st St","New York","US","us/ny/newyork/720w181stst/-66712705",40.85028,-73.93708,"Pizza Hut","10033","NY","http://www.pizzahut.com,http://www.pizzahut.com/"
"30","203 E 26th St","New York","US","us/ny/newyork/203e26thst/1770159848",40.74068,-73.98134,"Little Caesars Pizza","10010","NY",NA
"31","213 Madison St","New York","US","us/ny/newyork/213madisonst/-1161002137",40.712948,-73.98925,"McDonald's","10002","NY","http://mcdonalds.com/"
"32","1285 Avenue of the Americas","New York","US","us/ny/newyork/1285avenueoftheamericas/-891525969",40.761196,-73.980576,"Subway","10019","NY","http://www.subway.com"
