"","address","city","country","keys","latitude","longitude","name","postalCode","province","websites"
"1","100 Northside Dr","Bennington","US","us/vt/bennington/100northsidedr/-864103396",42.89413,-73.20316,"Taco Bell","5201","VT","http://www.tacobell.com,https://locations.tacobell.com/vt/bennington/100-northside-drive.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033371andutm_content=website"
"2","161 Church St","Burlington","US","us/vt/burlington/161churchst/-1600724499",44.47568,-73.21264,"Pacific Rim","5401","VT",NA
"3","499 Canal St","Brattleboro","US","us/vt/brattleboro/499canalst/-1055723171",42.83924,-72.56684,"Domino's Pizza","5301","VT","http://www.dominos.com,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
"4","363 Swanton Rd","Saint Albans","US","us/vt/saintalbans/363swantonrd/-864103396",44.8396,-73.08202,"Taco Bell","5478","VT","http://www.tacobell.com,https://locations.tacobell.com/vt/saint-albans/363-swanton-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=E715018andutm_content=website"
"5","580 Shelburne Rd Ste 11","Burlington","US","us/vt/burlington/580shelburnerdste11/-891525969",44.44926,-73.20896,"SUBWAY","5401","VT","http://subway.com,http://www.subway.com"
"6","25 Berlin St","Montpelier","US","us/vt/montpelier/25berlinst/-1055723171",44.25664,-72.57701,"Domino's Pizza","5602","VT","https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps"
"7","322 N Main St","Barre","US","us/vt/barre/322nmainst/-1055723171",44.20083,-72.50616,"Domino's Pizza","5641","VT","https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,http://www.dominos.com,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps"
"8","105 Morrisville Plz","Morrisville","US","us/vt/morrisville/105morrisvilleplz/-1161002137",44.574,-72.59198,"McDonalds","5661","VT","http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
"9","112 Northside Dr","Bennington","US","us/vt/bennington/112northsidedr/-1161002137",42.895614,-73.20491,"McDonald's","5201","VT","http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
"10","35 Kocher Dr","Bennington","US","us/vt/bennington/35kocherdr/-2061630068",42.894549,-73.202296,"Burger King","5201","VT","http://www.bk.com,https://locations.bk.com/vt/bennington/35-kocher-dr.html"
"11","748 Main St","Bennington","US","us/vt/bennington/748mainst/-1055723171",42.87916,-73.1852,"Domino's Pizza","5201","VT","https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps"
"12","24 Wales St","Rutland","US","us/vt/rutland/24walesst/-1055723171",43.6075,-72.9776,"Domino's Pizza","5701","VT","http://www.dominos.com,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage&utm_source=yext&utm_medium=loclist&utm_campaign=localmaps"
"13","2729 Main St","Rutland","US","us/vt/rutland/2729mainst/-2061630068",43.630949,-72.976316,"Burger King","5701","VT","http://www.bk.com,https://locations.bk.com/vt/rutland/2729-north-main-st.html"
"14","153 S Main St","Rutland","US","us/vt/rutland/153smainst/106088",43.5981,-72.9708,"KFC","5701","VT","http://www.kfc.com"
"15","21 N Main St","Rutland","US","us/vt/rutland/21nmainst/-791445730",43.6096,-72.9724,"Wendy's","5701","VT","http://www.wendys.com"
